currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity,fallDetected
2,0.27,0.74,0.55,53.23,26.24,20.22,4,None
3,0.27,0.76,0.58,52.66,25.31,19.84,4,None
4,0.27,0.76,0.56,53.41,25.92,19.84,4,None
5,0.27,0.75,0.58,52.37,25.31,20.03,4,None
6,0.27,0.75,0.58,52.37,25.31,20.03,4,None
7,0.27,0.76,0.57,53.04,25.62,19.84,4,None
8,0.28,0.75,0.55,53.51,26.89,20.56,4,None
9,0.27,0.75,0.55,53.9,25.91,19.5,4,None
10,0.29,0.82,0.44,61.93,33.45,19.41,4,None
11,0.26,0.93,0.16,80.46,58.78,15.5,4,None
12,0.23,0.92,-0.16,99.62,124.59,13.81,6,None
13,0.16,0.88,-0.55,122.01,164.05,10.12,6,None
14,0.17,0.76,-0.48,122.59,160.46,12.78,6,None
15,0.26,0.82,-0.75,132.44,161.03,17.45,6,None
16,0.15,0.79,-0.21,104.97,144.87,10.65,6,None
17,0.23,0.89,0.18,78.59,51.58,14.27,1,Fall predicted!
18,0.24,0.89,0.28,72.47,40.73,15.21,1,None
19,0.22,0.89,0.3,71.57,36.38,13.8,1,None
20,0.2,0.91,0.28,72.76,35.84,12.63,1,None
21,0.22,0.91,0.27,73.21,38.66,13.57,1,None
22,0.22,0.9,0.28,72.62,37.87,13.68,1,None
23,0.22,0.91,0.27,73.8,39.47,13.46,1,None
24,0.23,0.9,0.23,75.38,44.03,14.15,1,None
25,0.23,0.92,0.23,75.74,45,14.26,1,None
26,0.23,0.92,0.21,77.11,47.05,13.81,1,None
27,0.23,0.95,0.16,80.61,55.41,13.48,1,None
28,0.22,0.93,0.13,82.34,60.26,13.24,1,None
29,0.23,0.92,0.14,81.33,58.17,13.81,1,None
30,0.23,0.93,0.14,81.4,59.04,14.15,1,None
31,0.23,0.92,0.13,81.8,60.46,14.26,1,None
32,0.23,0.94,0.13,82.41,61.93,14.04,1,None
33,0.23,0.93,0.14,81.4,59.04,14.15,1,None
34,0.23,0.93,0.13,81.87,59.62,13.7,1,None
35,0.23,0.93,0.14,81.4,58.17,13.7,1,None
36,0.23,0.93,0.14,81.4,59.04,14.15,1,None
37,0.23,0.94,0.13,81.94,60.46,14.04,1,None
38,0.23,0.95,0.13,82,60.46,13.92,1,None
39,0.23,0.93,0.13,82.34,61.93,14.15,1,None
40,0.2,0.91,0.12,82.69,60.02,12.53,1,None
41,0.05,0.95,0.06,86.25,41.19,3.28,2,None
42,0.29,0.96,0,90,90,16.74,2,None
43,0.32,0.92,0.07,85.64,77.62,19.16,2,None
44,0.21,0.96,0.16,80.76,53.47,12.38,2,None
45,0.08,0.98,0.09,84.52,39.81,4.57,2,None
46,0.16,1,0.13,82.87,51.34,8.88,2,None
47,0.25,0.91,-0.02,90.99,93.58,15.42,2,None
48,0.21,0.98,0.08,85.43,69.68,12.19,2,None
49,0.16,0.96,0.05,87.21,73.3,9.24,2,None
50,0.17,0.98,0.14,81.87,50.71,9.9,2,None
51,0.29,0.93,0.01,89.52,88.45,17.27,2,None
52,0.25,0.97,0.08,85.39,72.65,14.47,2,None
53,0.16,0.93,-0.01,90.48,92.86,9.54,2,None
54,0.14,1.01,0.09,84.69,56.31,7.94,2,None
55,0.27,0.92,-0.02,90.97,93.37,16.07,2,None
56,0.25,0.97,0.06,86.31,75.96,14.47,2,None
57,0.19,0.89,0.13,81.52,54.69,11.89,2,None
58,0.2,0.94,0.04,87.61,79.11,12.23,2,None
59,0.32,0.91,0.05,86.58,80.31,19.31,2,None
60,0.2,0.9,0.06,86.02,72.26,12.26,2,None
61,0.18,0.92,0.1,83.71,60.52,11.03,2,None
62,0.23,0.95,0.03,88.12,82.15,13.37,2,None
63,0.28,0.91,0.07,85.6,75.96,17.1,2,None
64,0.2,0.91,0.08,85.11,68.2,12.06,2,None
65,0.16,0.9,0.1,83.55,56.98,9.87,2,None
