ax, ay, az, rx, ry, rz, activity, fD, fP, wD
0.09, 0.94, 0.14, 81.47, 33.69, 5.71, 1, 0, 0, 0
0.1, 0.95, 0.15, 81.08, 34.38, 6.13, 1, 0, 0, 0
0.09, 0.95, 0.15, 81.08, 32.28, 5.66, 1, 0, 0, 0
0.1, 0.95, 0.13, 82, 37.41, 6.13, 1, 0, 0, 0
0.09, 0.93, 0.13, 81.87, 35.22, 5.76, 1, 0, 0, 0
0.1, 0.93, 0.15, 80.93, 34.38, 6.23, 2, 0, 0, 0
0.15, 0.95, 0.16, 80.15, 42.14, 8.92, 2, 0, 0, 0
0.01, 0.93, 0.18, 79.06, 2.49, 0.48, 2, 0, 0, 0
0.21, 0.99, 0.04, 87.75, 79.51, 12, 2, 0, 0, 0
0.19, 0.97, 0.16, 80.39, 48.81, 10.95, 2, 0, 0, 0
0, 0.91, 0.13, 81.73, 0, 0, 2, 0, 0, 0
0.2, 0.87, -0.03, 92.06, 99.09, 12.69, 2, 0, 0, 0
0.2, 0.97, 0.08, 85.39, 68.96, 11.84, 2, 0, 0, 0
0.06, 0.84, 0.13, 81.5, 26.57, 4.28, 2, 0, 0, 0
0.21, 0.78, -0.02, 91.72, 96.34, 15.11, 2, 0, 0, 0
0.18, 0.96, 0.16, 80.76, 48.99, 10.59, 2, 0, 0, 0
0.14, 0.84, 0.11, 82.55, 52.13, 9.55, 2, 0, 0, 0
0.23, 0.81, -0.04, 92.75, 99.78, 15.58, 2, 0, 0, 0
0.17, 0.98, 0.11, 83.61, 57.53, 9.98, 2, 0, 0, 0
0.16, 1, 0.16, 81.12, 45, 8.88, 2, 0, 0, 0
0.19, 1.19, 0.12, 84.36, 57.99, 8.97, 2, 0, 0, 0
0.2, 0.88, 0.15, 80.37, 52.77, 12.58, 2, 0, 0, 0
-0.04, 0.98, 0.04, 87.73, -45, -2.27, 2, 0, 0, 0
0.03, 0.99, 0.16, 81.05, 11.31, 1.8, 2, 0, 0, 0
0.16, 0.93, 0.16, 80.46, 46.4, 10.01, 2, 0, 0, 0
0.02, 1.02, 0.1, 84.33, 8.75, 0.87, 2, 0, 0, 0
0.03, 0.92, 0.14, 81.33, 12.53, 1.94, 2, 0, 0, 0
0.12, 0.77, 0.1, 82.44, 49.09, 8.7, 2, 0, 0, 0
0.12, 1.02, 0.04, 87.81, 71.57, 6.53, 2, 0, 0, 0
0.12, 0.86, 0.13, 81.21, 41.42, 7.77, 2, 0, 0, 0
0.2, 1, 0.05, 87.32, 76.5, 11.05, 2, 0, 0, 0
0.13, 1.06, 0.19, 79.99, 35.31, 7.13, 2, 0, 0, 0
0.03, 0.88, 0.17, 78.98, 10.3, 2.03, 2, 0, 0, 0
0.24, 0.88, -0.05, 93.54, 102.72, 15.34, 2, 0, 0, 0
0.2, 1.01, 0.16, 81.19, 51.34, 10.97, 2, 0, 0, 0
0.03, 0.82, 0.1, 82.94, 17.1, 2.18, 2, 0, 0, 0
0.18, 0.97, 0.02, 88.61, 82.57, 10.51, 2, 0, 0, 0
0.13, 0.88, 0.13, 81.44, 45, 8.56, 2, 0, 0, 0
-0.05, 1.01, -0.01, 90.44, -99.46, -2.66, 2, 0, 0, 0
0.02, 0.98, 0.16, 80.91, 8.53, 1.37, 2, 0, 0, 0
0.12, 0.79, 0.09, 83.22, 51.34, 8.45, 2, 0, 0, 0
0.08, 1.06, 0.06, 86.63, 51.34, 4.21, 2, 0, 0, 0     
-0.05, 0.94, 0.11, 83.35, -26.57, -3.34, 2, 0, 0, 0
0.18, 0.86, -0.06, 94.16, 109.18, 11.81, 2, 0, 0, 0
0.21, 0.84, -0.05, 93.74, 104.53, 14.16, 2, 0, 0, 0
0.17, 0.98, 0.13, 82.32, 52.31, 9.9, 2, 0, 0, 0
0.07, 0.9, 0.14, 81.1, 26.57, 4.47, 2, 0, 0, 0
0.12, 1.18, 0.11, 84.7, 46.97, 5.67, 2, 0, 0, 0
0.08, 0.89, 0.23, 75.26, 18.43, 5.01, 2, 0, 0, 0
0.01, 0.68, 0.05, 85.4, 8.13, 0.66, 2, 0, 0, 0
0.03, 0.94, 0.14, 81.47, 12.53, 1.91, 2, 0, 0, 0
0.14, 0.97, 0.16, 80.84, 41.99, 8.26, 2, 0, 0, 0
0.03, 1.02, 0.17, 80.47, 10.3, 1.75, 2, 0, 0, 0
0.04, 0.89, 0.16, 80.05, 14.04, 2.51, 2, 0, 0, 0
0.22, 0.85, 0, 90, 90, 14.41, 2, 0, 0, 0
0.17, 0.91, 0.09, 84.58, 63.43, 10.74, 2, 0, 0, 0
0.07, 1.05, 0.03, 88.29, 66.04, 3.84, 2, 0, 0, 0
0.08, 0.95, 0.1, 83.92, 37.57, 4.69, 2, 0, 0, 0
0.24, 0.95, 0.08, 85.31, 72.12, 14.26, 2, 0, 0, 0
0.16, 0.98, 0.12, 83.21, 53.13, 9.02, 2, 0, 0, 0
0.22, 0.97, -0.01, 90.46, 92.05, 12.72, 2, 0, 0, 0
0.24, 0.9, 0.05, 86.52, 77.28, 15.09, 2, 0, 0, 0
0.02, 0.92, 0.01, 89.51, 71.57, 1.46, 2, 0, 0, 0
0.06, 0.93, 0.11, 83.29, 29.74, 3.85, 2, 0, 0, 0
0.23, 0.83, -0.14, 99.64, 121.83, 15.3, 2, 0, 0, 0
0.23, 0.9, 0.09, 84.54, 69.86, 14.62, 2, 0, 0, 0
0.01, 0.98, 0.05, 86.82, 8.13, 0.45, 2, 0, 0, 0
0.02, 1.02, 0.13, 82.98, 10.62, 1.32, 2, 0, 0, 0
0.22, 0.9, 0.09, 84.54, 68.55, 13.68, 2, 0, 0, 0
0.16, 1.05, 0.06, 86.58, 69.15, 8.91, 2, 0, 0, 0
0.03, 0.96, 0.16, 80.31, 10.78, 1.86, 2, 0, 0, 0
0.25, 0.86, -0.04, 92.6, 98.88, 16.22, 2, 0, 0, 0
0.16, 0.97, 0.12, 83.1, 54.46, 9.61, 2, 0, 0, 0
0.11, 0.9, 0.08, 85.03, 54.46, 6.94, 2, 0, 0, 0
0.13, 1.02, 0.13, 82.61, 45, 7.39, 2, 0, 0, 0
0.21, 0.97, 0.13, 82.19, 57.8, 12.28, 2, 0, 0, 0
0.02, 0.89, 0.05, 86.49, 15.95, 1.01, 2, 0, 0, 0
-0.02, 0.96, 0.12, 83.05, -11.31, -1.4, 2, 0, 0, 0
0.16, 0.85, 0.13, 81.14, 49.64, 10.4, 2, 0, 0, 0
0.15, 1, 0.13, 82.87, 49.9, 8.44, 2, 0, 0, 0
0.02, 0.95, 0.17, 79.78, 7.77, 1.41, 2, 0, 0, 0
0.16, 0.76, 0.09, 83.53, 61.19, 11.65, 2, 0, 0, 0
0.19, 0.89, 0.19, 78.11, 45, 11.89, 2, 0, 0, 0
0.05, 1.01, 0.16, 81.19, 16.7, 2.66, 2, 0, 0, 0
0.04, 0.95, 0.21, 77.42, 10.49, 2.37, 2, 0, 0, 0
0.16, 0.82, 0.16, 79.22, 45, 10.78, 2, 0, 0, 0
0.13, 1.08, 0.16, 81.75, 38.66, 6.61, 2, 0, 0, 0
0.04, 0.91, 0.16, 80.22, 14.04, 2.47, 2, 0, 0, 0
-0.01, 0.93, 0.07, 85.67, -6.34, -0.48, 2, 0, 0, 0
0.03, 0.98, 0.16, 80.98, 11.31, 1.82, 2, 0, 0, 0
0.13, 1.05, 0.16, 81.09, 38.99, 7.23, 2, 0, 0, 0
0.07, 0.91, 0.15, 80.7, 25.35, 4.44, 2, 0, 0, 0
0.18, 0.8, 0.05, 86.67, 75.38, 12.59, 2, 0, 0, 0
0.16, 1.02, 0.08, 85.63, 63.43, 8.68, 2, 0, 0, 0
0.03, 0.88, 0.16, 79.88, 11.31, 2.05, 2, 0, 0, 0
0.2, 1.03, 0.05, 87.4, 77.01, 11.14, 2, 0, 0, 0
0.16, 0.93, 0.14, 81.4, 49.4, 10.01, 2, 0, 0, 0
0.04, 0.84, 0.14, 80.54, 15.52, 2.65, 2, 0, 0, 0
0.16, 1.07, 0.12, 83.75, 53.13, 8.31, 2, 0, 0, 0
0.16, 0.88, 0.16, 79.47, 45, 10.53, 2, 0, 0, 0
-0.04, 0.77, -0.01, 90.58, -101.31, -2.89, 2, 0, 0, 0
0.01, 0.92, 0.12, 82.76, 3.81, 0.49, 2, 0, 0, 0
0.13, 0.92, 0.13, 81.8, 45, 8.2, 2, 0, 0, 0
0.12, 1.03, 0.16, 80.96, 35.54, 6.48, 2, 0, 0, 0
0.11, 0.89, 0.16, 80.05, 34.99, 7, 2, 0, 0, 0
0.16, 1.01, 0.13, 82.93, 51.34, 8.81, 2, 0, 0, 0
0.16, 0.89, 0.13, 81.52, 51.01, 10.44, 2, 0, 0, 0
-0.03, 0.84, 0.02, 88.39, -53.13, -2.14, 2, 0, 0, 0
0.02, 0.98, 0.13, 82.71, 7.13, 0.92, 2, 0, 0, 0
0.14, 0.84, 0.15, 80.02, 43.45, 9.46, 2, 0, 0, 0
0.09, 1.02, 0.18, 79.97, 25.56, 4.84, 2, 0, 0, 0
0.03, 0.91, 0.12, 82.69, 14.93, 1.96, 2, 0, 0, 0
0.06, 1, 0.1, 84.2, 31.61, 3.58, 2, 0, 0, 0
0.09, 0.93, 0.13, 81.87, 35.22, 5.76, 2, 0, 0, 0
0.09, 0.89, 0.09, 84.49, 45, 5.51, 2, 0, 0, 0
0.05, 0.91, 0.16, 80.22, 16.7, 2.96, 2, 0, 0, 0
0.19, 1.02, 0.09, 85.16, 65.38, 10.46, 2, 0, 0, 0
0.19, 0.91, 0.13, 81.66, 54.69, 11.69, 2, 0, 0, 0
0.03, 0.93, 0.16, 80.46, 11.31, 1.93, 2, 0, 0, 0
