currentTime, ax, ay, az, rx, ry, rz, fallDetected, fallstate, activity, stepCounter, fluctuationState, position
1, 0.03, -0.09, 1.01, -5.31, 1.78, 161.57, false, None, Standing still, 0, Stable, Laying
2, 0.05, -0.09, 0.99, -5.4, 2.7, 153.43, false, None, Standing still, 0, Stable, Laying
3, 0.04, -0.09, 0.99, -5.4, 2.25, 157.38, false, None, Standing still, 0, Stable, Laying
4, 0.05, -0.09, 1, -5.36, 2.68, 153.43, false, None, Standing still, 0, Stable, Laying
5, 0.05, -0.09, 1.02, -5.27, 2.64, 153.43, false, None, Standing still, 0, Stable, Laying
6, 0.05, -0.09, 1, -5.36, 2.68, 153.43, false, None, Standing still, 0, Stable, Laying
7, 0.05, -0.09, 1, -5.36, 2.68, 153.43, false, None, Standing still, 0, Stable, Laying
8, 0.04, -0.1, 1, -5.8, 2.24, 158.96, false, None, Standing still, 0, Stable, Laying
9, 0.03, -0.1, 1, -5.8, 1.79, 162.9, false, None, Standing still, 0, Stable, Laying
10, 0.04, -0.09, 1, -5.36, 2.24, 157.38, false, None, Standing still, 0, Stable, Laying
11, 0.05, -0.09, 1, -5.36, 2.68, 153.43, false, None, Standing still, 0, Stable, Laying
12, 0.05, -0.09, 1, -5.36, 2.68, 153.43, false, None, Standing still, 0, Stable, Laying
13, 0.05, -0.09, 1, -5.36, 2.68, 153.43, false, None, Standing still, 0, Stable, Laying
14, 0.05, -0.09, 1, -4.91, 2.68, 151.39, false, None, Standing still, 0, Stable, Laying
15, 0.04, -0.1, 1.01, -5.75, 2.22, 158.96, false, None, Standing still, 0, Stable, Laying
16, 0.04, -0.1, 1, -5.8, 2.24, 158.96, false, None, Standing still, 0, Stable, Laying
17, 0.04, -0.09, 1, -5.36, 2.24, 157.38, false, None, Standing still, 0, Stable, Laying
18, 0.05, -0.11, 1.01, -6.19, 2.66, 156.8, false, None, Standing still, 0, Stable, Laying
19, 0.05, -0.09, 0.99, -5.4, 2.7, 153.43, false, None, Standing still, 0, Stable, Laying
20, 0.03, -0.1, 1, -5.8, 1.79, 162.9, false, None, Standing still, 0, Stable, Laying
21, 0.04, -0.11, 1, -6.24, 2.24, 160.35, false, None, Standing still, 0, Stable, Laying
22, 0.05, -0.09, 1, -5.36, 2.68, 153.43, false, None, Standing still, 0, Stable, Laying
23, 0.05, -0.09, 1, -4.91, 2.68, 151.39, false, None, Standing still, 0, Stable, Laying
24, 0.05, -0.09, 1, -5.36, 2.68, 153.43, false, None, Standing still, 0, Stable, Laying
25, 0.05, -0.1, 0.99, -5.84, 2.7, 155.22, false, None, Standing still, 0, Stable, Laying
26, 0.04, -0.09, 1, -5.36, 2.24, 157.38, false, None, Standing still, 0, Stable, Laying
27, 0.05, -0.1, 1.01, -5.75, 2.66, 155.22, false, None, Standing still, 0, Stable, Laying
28, 0.05, -0.09, 1, -5.36, 2.68, 153.43, false, None, Standing still, 0, Stable, Laying
29, 0.04, -0.1, 1, -5.8, 2.24, 158.96, false, None, Standing still, 0, Stable, Laying
30, 0.04, -0.09, 1.01, -5.31, 2.22, 157.38, false, None, Standing still, 0, Stable, Laying
31, 0.05, -0.09, 1.01, -5.31, 2.66, 153.43, false, None, Standing still, 0, Stable, Laying
32, 0.04, -0.09, 1.01, -4.87, 2.22, 155.56, false, None, Standing still, 0, Stable, Laying
33, 0.05, -0.09, 0.98, -5.44, 3.18, 149.74, false, None, Standing still, 0, Stable, Laying
34, 0.05, -0.1, 1.01, -5.75, 2.66, 155.22, false, None, Standing still, 0, Stable, Laying
35, 0.05, -0.09, 1.01, -5.31, 2.66, 153.43, false, None, Standing still, 0, Stable, Laying
36, 0.05, -0.1, 0.99, -5.84, 2.7, 155.22, false, None, Standing still, 0, Stable, Laying
37, 0.04, -0.09, 1, -5.36, 2.24, 157.38, false, None, Standing still, 0, Stable, Laying
38, 0.04, -0.09, 0.99, -5.4, 2.25, 157.38, false, None, Standing still, 0, Stable, Laying
39, 0.05, -0.1, 1.01, -5.75, 2.66, 155.22, false, None, Standing still, 0, Stable, Laying
40, 0.04, -0.1, 0.99, -5.84, 2.25, 158.96, false, None, Standing still, 0, Stable, Laying
41, 0.05, -0.1, 1, -5.8, 2.68, 155.22, false, None, Standing still, 0, Stable, Laying
42, 0.04, -0.1, 0.99, -5.84, 2.25, 158.96, false, None, Standing still, 0, Stable, Laying
43, 0.05, -0.1, 1, -5.8, 2.68, 155.22, false, None, Standing still, 0, Stable, Laying
44, 0.04, -0.1, 1, -5.8, 2.24, 158.96, false, None, Standing still, 0, Stable, Laying
45, 0.05, -0.1, 1.01, -5.75, 3.11, 151.7, false, None, Standing still, 0, Stable, Laying
46, 0.03, -0.1, 1, -5.8, 1.79, 162.9, false, None, Standing still, 0, Stable, Laying
47, 0.04, -0.1, 1, -5.8, 2.24, 158.96, false, None, Standing still, 0, Stable, Laying
48, 0.05, -0.09, 1, -5.36, 2.68, 153.43, false, None, Standing still, 0, Stable, Laying
49, 0.04, -0.09, 1, -5.36, 2.24, 157.38, false, None, Standing still, 0, Stable, Laying
50, 0.05, -0.1, 1.01, -5.75, 2.66, 155.22, false, None, Standing still, 0, Stable, Laying
51, 0.04, -0.09, 1, -5.36, 2.24, 157.38, false, None, Standing still, 0, Stable, Laying
52, 0.05, -0.09, 1.01, -5.31, 2.66, 153.43, false, None, Standing still, 0, Stable, Laying
53, 0.05, -0.1, 1.01, -5.75, 3.11, 151.7, false, None, Standing still, 0, Stable, Laying
54, 0.05, -0.09, 1.01, -5.31, 3.11, 149.74, false, None, Standing still, 0, Stable, Laying
55, 0.05, -0.09, 1, -4.91, 3.13, 147.53, false, None, Standing still, 0, Stable, Laying
56, 0.04, -0.09, 0.98, -5.44, 2.27, 157.38, false, None, Standing still, 0, Stable, Laying
57, 0.04, -0.09, 1.01, -4.87, 2.22, 155.56, false, None, Standing still, 0, Stable, Laying
43, 0.05, -0.1, 1, -5.8, 2.68, 155.22, false, None, Standing still, 0, Stable, Laying
44, 0.04, -0.1, 1, -5.8, 2.24, 158.96, false, None, Standing still, 0, Stable, Laying
45, 0.05, -0.1, 1.01, -5.75, 3.11, 151.7, false, None, Standing still, 0, Stable, Laying        
46, 0.03, -0.1, 1, -5.8, 1.79, 162.9, false, None, Standing still, 0, Stable, Laying
47, 0.04, -0.1, 1, -5.8, 2.24, 158.96, false, None, Standing still, 0, Stable, Laying
48, 0.05, -0.09, 1, -5.36, 2.68, 153.43, false, None, Standing still, 0, Stable, Laying
49, 0.04, -0.09, 1, -5.36, 2.24, 157.38, false, None, Standing still, 0, Stable, Laying
50, 0.05, -0.1, 1.01, -5.75, 2.66, 155.22, false, None, Standing still, 0, Stable, Laying       
51, 0.04, -0.09, 1, -5.36, 2.24, 157.38, false, None, Standing still, 0, Stable, Laying
52, 0.05, -0.09, 1.01, -5.31, 2.66, 153.43, false, None, Standing still, 0, Stable, Laying      
53, 0.05, -0.1, 1.01, -5.75, 3.11, 151.7, false, None, Standing still, 0, Stable, Laying        
54, 0.05, -0.09, 1.01, -5.31, 3.11, 149.74, false, None, Standing still, 0, Stable, Laying      
55, 0.05, -0.09, 1, -4.91, 3.13, 147.53, false, None, Standing still, 0, Stable, Laying
56, 0.04, -0.09, 0.98, -5.44, 2.27, 157.38, false, None, Standing still, 0, Stable, Laying      
57, 0.04, -0.09, 1.01, -4.87, 2.22, 155.56, false, None, Standing still, 0, Stable, Laying      
47, 0.04, -0.1, 1, -5.8, 2.24, 158.96, false, None, Standing still, 0, Stable, Laying
48, 0.05, -0.09, 1, -5.36, 2.68, 153.43, false, None, Standing still, 0, Stable, Laying
49, 0.04, -0.09, 1, -5.36, 2.24, 157.38, false, None, Standing still, 0, Stable, Laying
50, 0.05, -0.1, 1.01, -5.75, 2.66, 155.22, false, None, Standing still, 0, Stable, Laying       
51, 0.04, -0.09, 1, -5.36, 2.24, 157.38, false, None, Standing still, 0, Stable, Laying
52, 0.05, -0.09, 1.01, -5.31, 2.66, 153.43, false, None, Standing still, 0, Stable, Laying      
53, 0.05, -0.1, 1.01, -5.75, 3.11, 151.7, false, None, Standing still, 0, Stable, Laying        
