currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity,fallDetected
1,0.27,0.65,0.7,42.68,21.25,22.86,sitting,None
2,0.27,0.66,0.7,43.34,21.47,22.62,sitting,None
3,0.26,0.66,0.7,43.36,20.14,21.22,sitting,None
4,0.27,0.67,0.7,44.02,20.91,21.57,sitting,None
5,0.27,0.66,0.7,43.68,21.47,22.38,sitting,None
6,0.28,0.66,0.7,43.36,21.8,22.95,sitting,None
7,0.28,0.66,0.7,43.34,22.02,23.2,sitting,None
8,0.27,0.66,0.68,44.33,21.91,22.38,sitting,None
9,0.26,0.73,0.65,48.25,21.68,19.54,sitting,None
10,0.27,0.68,0.66,46.01,22.62,21.91,sitting,None
11,0.27,0.69,0.66,46.33,22.04,21.12,sitting,None
12,0.28,0.66,0.71,42.71,21.58,23.2,sitting,None
13,0.23,0.65,0.71,42.37,17.68,19.26,sitting,None
14,0.23,0.66,0.74,41.48,17.53,19.65,sitting,None
15,0.27,0.64,0.7,42.34,20.7,22.52,sitting,None
16,0.26,0.66,0.68,44.33,20.77,21.22,sitting,None
17,0.23,0.64,0.69,42.98,18.82,20.1,sitting,None
18,0.27,0.71,0.63,48.68,23.03,20.49,sitting,None
19,0.27,0.77,0.55,54.35,25.59,18.95,sitting,None
20,0.23,0.87,0.2,77.31,49.24,14.64,Standingup,None
21,0.25,0.91,-0.3,108.14,139.9,15.42,Standingup,Fall predicted!
22,0.23,0.83,-0.41,116.57,151.31,15.3,Standingup,None
23,0.12,0.79,-0.53,123.95,167.56,8.45,Standingup,None
24,0.13,0.84,-0.58,124.67,167.06,9.03,Standingup,None
25,0.22,0.84,-0.16,101.1,126.87,14.66,standingstill,None
26,0.21,0.85,0.28,71.72,36.87,13.91,standingstill,Fall predicted!
27,0.28,0.87,0.35,67.93,38.66,17.97,standingstill,None
28,0.25,0.88,0.34,68.55,36.03,15.95,standingstill,None
29,0.25,0.9,0.33,69.94,37.3,15.55,standingstill,None
30,0.23,0.91,0.31,70.97,36.87,14.5,standingstill,None
31,0.25,0.89,0.3,71.11,39.37,15.68,standingstill,None
32,0.24,0.9,0.29,72.16,39.96,15.09,standingstill,None
33,0.22,0.91,0.23,75.62,43.03,13.46,standingstill,None
34,0.12,0.92,0.23,75.74,26.57,7.24,walking,None
35,0.02,0.96,0.19,78.96,4.76,0.93,walking,None
36,0.3,0.95,0.18,79.32,58.82,17.3,walking,None
37,0.41,0.86,0.11,82.75,74.93,25.3,walking,None
38,0.01,0.95,0.27,74.31,1.68,0.47,walking,None
39,0.32,0.87,0.05,86.39,80.31,20.27,walking,None
40,0.37,0.86,0.19,77.69,62.95,23.14,walking,None
41,-0.05,1.02,0.05,86.94,-40.6,-2.62,walking,None
42,0.01,0.93,0.23,75.85,1.91,0.48,walking,None
43,0.34,0.96,0.05,86.74,80.75,19.27,walking,None
44,0.3,0.85,0.22,75.59,53.62,19.22,walking,None
45,0.06,0.88,0.24,74.66,14.47,4.05,walking,None
46,0.3,0.83,-0.02,91.62,94.4,20.2,walking,None
47,0.27,0.9,0.27,73.07,45,16.93,walking,None
48,0.09,0.88,0.28,72.18,16.99,5.61,walking,None
49,0.3,0.84,0.05,86.26,79.56,19.55,walking,None
50,0.32,0.99,0.31,72.52,45.71,17.89,walking,None
51,0.09,0.86,0.26,73.3,19.98,6.23,walking,None
52,0.34,0.88,0.13,81.44,68.43,20.83,walking,None
53,0.27,1.02,0.26,75.76,45.86,14.66,walking,None
54,0.13,0.87,0.27,72.97,26.57,8.71,walking,None
55,0.33,0.84,0.13,81.57,69.15,21.25,walking,None
56,0.25,1,0.38,69.05,33.15,14.04,walking,None
57,0.12,0.85,0.23,74.61,26.57,7.84,walking,None
58,0.25,0.95,0.16,80.23,56.73,14.7,walking,None
59,0.17,1.02,0.26,75.76,33.69,9.61,walking,None
60,0.14,0.94,0.23,75.96,30.96,8.53,walking,None
