currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity
1,0.26,0.78,0.52,56.58,26.57,18.26,2
2,0.27,0.79,0.51,57.24,27.61,18.6,2
3,0.3,0.77,0.52,55.64,30.2,21.7,2
4,0.13,0.89,0.41,65.48,17.1,7.99,9
5,0.16,0.88,0.38,66.99,23.63,10.53,2
6,0.38,0.92,0.21,77.11,60.64,22.14,2
7,0.3,0.8,0.45,61.04,33.69,20.25,2
8,0.05,1.13,0.26,77.18,11.98,2.76,2
9,0.2,0.8,0.42,62.1,24.84,13.77,2
10,0.45,0.84,0.29,70.92,57.01,28.04,2
11,0.34,0.84,0.46,61.35,36.09,21.71,2
12,0.23,0.85,0.44,62.81,27.38,14.9,2
13,0.37,0.92,0.34,69.55,46.89,21.72,2
14,0.39,0.74,0.4,61.77,44.43,27.76,2
15,0.17,0.95,0.27,73.87,32.15,10.3,2
16,0.31,0.69,0.27,68.88,49.64,24.44,2
17,0.34,0.13,0.47,14.93,36.25,70.02,9
18,0.2,0.63,0.02,88.59,85.43,17.15,7
19,0.13,0.16,-0.44,159.44,163.11,38.99,7
20,1.13,-0.77,0.08,-84.17,86.03,124.24,7
21,1.05,-0.25,-0.05,-100.62,92.56,103.43,7
22,0.98,-0.3,0.13,-65.9,82.26,106.91,0
23,0.98,-0.28,0.14,-63.43,81.87,105.95,0
24,0.98,-0.27,0.13,-65.43,82.71,105.64,0
25,0.97,-0.28,0.13,-66.04,82.65,106.19,0
26,0.98,-0.27,0.13,-64.09,82.26,105.64,0
27,0.98,-0.27,0.13,-64.09,82.26,105.64,0
28,0.98,-0.27,0.13,-64.09,82.26,105.64,0
0,0.18,0.89,0.32,70.22,29.29,11.41,4
1,0.18,0.88,0.37,67.42,26.08,11.5,4
2,0.2,0.88,0.35,68.11,29.05,12.58,4
3,0.17,0.88,0.38,66.37,24.18,11.11,4
4,0.17,0.88,0.36,67.85,25.56,11.02,4
5,0.19,0.89,0.37,67.59,27.05,11.89,4
6,0.21,0.87,0.37,67.05,29.88,13.67,4
7,0.2,0.87,0.36,67.49,29.48,13.18,4
1,0,0.3,-0.91,162.01,180,0,0
2,0,0.3,-0.9,161.71,180,0,0
3,0,0.3,-0.91,161.57,180,0,0
4,0.01,0.3,-0.91,161.57,179.51,1.47,0
5,0,0.3,-0.91,161.57,180,0,0
