currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity,fallDetected,fallPrediction,walkingDeterioration
1,0.23,0.83,0.42,63,29.05,15.8,1,0,0,0
2,0.22,0.84,0.4,64.72,28.77,14.53,1,0,0,0
3,0.16,0.83,0.38,65.19,22.2,10.68,1,0,0,0
4,0.12,0.87,0.42,64.06,15.52,7.7,2,0,0,0
5,0.26,0.81,0.24,73.4,46.79,17.6,2,0,0,0
6,0.27,0.87,0.36,67.49,37.27,17.5,2,0,0,0
7,0.16,0.82,0.34,67.26,24.44,10.78,2,0,0,0
8,0.26,0.73,0.23,72.85,48.69,19.34,2,0,0,0
9,0.29,0.8,0.42,62.1,34.42,19.94,2,0,0,0
10,0.12,0.87,0.33,69.27,19.65,7.7,2,0,0,0
11,0.39,1.06,0.05,87.47,83.16,20.19,2,0,0,0
12,0.37,0.84,0.13,81.57,71.2,23.52,2,0,0,1
13,0.13,0.89,0.21,76.68,30.65,7.99,2,0,0,1
14,0.27,0.95,0.09,84.38,71.08,16.01,2,0,0,1
15,0.39,0.78,0.13,80.35,71.22,26.57,2,0,0,1
16,0.16,0.96,0.24,75.85,32.83,9.24,2,0,0,1
17,0.29,1,0.11,83.76,69.27,16.12,2,0,0,1
18,0.36,0.82,0.2,76.61,61.48,23.66,2,0,0,1
19,0.13,0.93,0.31,71.42,23.03,8.13,2,0,0,1
20,0.3,0.91,0.07,85.56,77.01,18.58,2,0,0,1
21,0.38,0.85,0.14,80.62,69.44,23.77,2,0,0,1
22,0.13,0.91,0.27,73.21,25.91,8.34,2,0,0,1
23,0.16,0.88,0.23,75.61,35.91,10.53,2,0,0,1
24,0.36,0.83,0.07,85.15,78.93,23.46,2,0,0,1
25,0.15,0.86,0.22,75.72,34.16,9.8,2,0,0,1
26,0.13,0.91,0.25,74.58,27.98,8.34,2,0,0,1
27,0.4,0.95,0,90,90,22.69,2,0,0,1
28,0.29,0.95,0.25,75.3,49.14,16.87,2,0,0,1
29,0.13,0.89,0.3,71.57,22.83,7.99,2,0,0,1
30,0.43,0.87,0.04,87.42,84.81,26.36,2,0,0,1
31,0.38,0.88,0.21,76.45,60.64,23.2,2,0,0,1
32,0.15,0.85,0.3,70.78,26.57,9.89,2,0,0,1
33,0.41,0.91,0.05,86.58,82.33,23.96,2,0,0,1
34,0.35,0.83,0.21,75.71,59.04,23,2,0,0,1
35,0.13,0.89,0.27,72.93,25.91,8.48,2,0,0,1
36,0.23,1.02,0.11,83.85,64.23,12.58,2,0,0,1
37,0.37,0.8,0.23,74.13,58.32,24.74,2,0,0,1
38,0.14,0.97,0.28,73.81,26.57,8.26,2,0,0,1
39,0.28,1.04,0.15,81.87,62.18,15.15,2,0,0,1
40,0.4,0.85,0.16,79.6,68.59,25.07,2,0,0,1
41,0.13,0.95,0.27,74.43,26.57,7.93,2,0,0,1
42,0.23,0.99,0.17,80.17,52.82,12.86,2,0,0,1
43,0.4,0.84,0.05,86.29,82.18,25.28,2,0,0,1
44,0.11,0.89,0.19,78.11,30.26,7,2,0,0,1
45,0.17,0.92,0.2,78.04,41.35,10.56,2,0,0,1
46,0.37,0.82,0.15,79.74,67.99,24.11,2,0,0,1
47,0.11,0.86,0.17,78.69,32.47,7.25,2,0,0,1
48,0.17,0.92,0.17,79.44,45,10.56,2,0,0,1
49,0.37,0.79,0.17,77.71,64.92,24.95,2,0,0,1
50,0.08,0.87,0.22,75.84,19.65,5.15,2,0,0,1
51,0.2,0.96,0.22,77.18,42.88,11.94,2,0,0,1
52,0.34,0.82,0.16,79.22,65.56,22.74,2,0,0,1
53,0.12,0.8,0.17,77.94,34.29,8.29,2,0,0,1
54,0.22,0.92,0.14,81.33,57.26,13.35,2,0,0,1
55,0.38,0.83,0.13,80.89,70.5,24.36,2,0,0,1
56,0.2,0.91,0.23,75.5,39.81,12.16,2,0,0,1
57,0.2,0.86,0.26,73.3,37.15,12.8,2,0,0,1
58,0.48,0.9,0.07,85.53,81.74,28.33,2,0,0,1
59,0.34,0.92,0.33,70.41,46.33,20.45,2,0,0,1
1,0.21,0.84,0.45,61.54,24.96,14.16,1,0,0,0
2,0.2,0.84,0.45,61.54,24.15,13.66,1,0,0,0
3,0.2,0.85,0.44,62.81,24.06,12.92,1,0,0,0
4,0.2,0.83,0.44,62.15,24.06,13.27,1,0,0,0
5,0.2,0.86,0.41,64.27,25.25,12.8,1,0,0,0
6,0.2,0.84,0.41,63.86,26.13,13.54,1,0,0,0
7,0.21,0.86,0.4,65.13,27.9,13.79,1,0,0,0
8,0.2,0.84,0.4,64.72,27.01,13.54,1,0,0,0
9,0.14,0.9,0.37,67.77,20.96,8.9,2,0,0,0
10,0.16,0.91,0.18,78.88,42.4,10.18,2,0,0,0
11,0.2,0.95,0.23,76.18,40.91,12.03,2,0,0,0
12,0.12,0.92,0.32,70.84,20.1,7.24,2,0,0,0
13,0.33,0.88,0.34,69,44.33,20.56,2,0,0,0
14,0.18,0.91,0.32,70.53,29.29,11.21,2,0,0,0
15,0.09,0.88,0.36,67.85,14.62,6.06,2,0,0,0
16,0.35,0.83,0.34,67.92,46.3,23,2,0,0,0
17,0.21,0.93,0.35,69.29,30.96,12.78,2,0,0,0
18,0.15,0.84,0.35,67.19,22.89,10.07,2,0,0,0
19,0.32,0.9,0.32,70.38,45,19.62,2,0,0,0
20,0.27,1.05,0.45,66.96,31.55,14.64,2,0,0,0
21,0.11,0.83,0.36,66.54,16.93,7.52,2,0,0,0
22,0.25,0.94,0.34,69.86,36.03,14.93,2,0,0,0
23,0.24,1.06,0.45,66.9,28.12,12.84,2,0,0,0
24,0.06,0.84,0.36,66.74,9.87,4.28,2,0,0,0
25,0.3,0.86,0.28,71.88,46.55,19.06,2,0,0,0
26,0.27,0.88,0.4,65.52,34.46,17.35,2,0,0,0
27,0.14,0.84,0.35,67.38,21.8,9.46,2,0,0,1
28,0.3,0.83,0.2,76.73,57.34,20.2,2,0,0,1
29,0.21,0.86,0.28,71.88,36.87,13.79,2,0,0,1
30,0.02,0.89,0.27,73.39,5.04,1.51,2,0,0,1
31,0.26,0.78,0.21,74.89,50.71,18.26,2,0,0,1
