currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity
1,0.27,0.93,0.03,88.07,83.48,16.39,4
2,0.27,0.93,0.05,87.11,79.99,15.95,4
3,0.26,0.94,0.05,87.14,79.7,15.38,4
4,0.27,0.92,0.06,86.12,76.76,16.07,4
5,0.23,0.93,0.05,86.63,76.43,13.7,4
6,0.24,0.94,0.05,86.66,77.28,14.48,4
7,0.24,0.93,0.07,85.67,73.81,14.6,4
8,0.26,0.92,0.09,84.19,70.02,15.62,4
9,0.24,0.92,0.09,84.19,68.84,14.72,4
10,0.21,0.95,-0.01,90.47,92.12,12.58,4
11,0.33,0.81,0.4,63.88,39.47,21.99,3
12,0.27,0.51,0.82,31.76,18.43,28.3,3
13,0.09,-0.08,0.99,-4.5,4.95,132.27,3
14,-0.01,-0.59,0.88,-33.92,-0.51,-179.25,3
15,-0.07,-0.51,0.85,-30.81,-4.72,-172.12,3
16,0.09,-0.5,0.88,-29.53,6.06,169.38,3
17,0.07,-0.48,0.89,-28.15,4.51,171.61,3
18,0.08,-0.49,0.89,-28.93,5.01,170.98,0
19,0.08,-0.48,0.88,-28.75,5.06,170.84,0
20,0.08,-0.49,0.9,-28.72,4.97,170.98,0
21,0.08,-0.5,0.88,-29.74,5.1,171.12,0
22,0.07,-0.48,0.89,-28.54,4.51,171.74,0
23,0.09,-0.49,0.89,-28.93,5.51,170.1,0
24,0.08,-0.49,0.89,-28.93,5.01,170.98,0
25,0.1,-0.48,0.91,-28.12,6.39,168.16,0
26,0.12,-0.34,0.95,-19.98,7.07,161.18,3
27,0.11,-0.23,0.98,-13.39,6.34,154.98,3
28,0.23,-0.01,0.98,-0.45,12.96,91.97,3
29,0.31,0.51,0.78,33.02,21.8,31.61,3
30,0.3,0.76,0.45,59.12,33.23,21.39,3
31,0.28,0.91,0.16,80.3,60.95,17.1,3
32,0.33,0.95,0.16,80.61,64.54,19.14,3
33,0.27,0.9,0.23,75.85,50.36,16.93,4
34,0.3,0.96,0.12,83.05,68.46,17.17,4
35,0.25,0.91,0.09,84.09,69.44,15.42,4
36,0.3,0.91,0.12,82.69,68.46,17.99,4
