currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity
0,0.26,0.9,0.23,75.85,48.69,16.01,2
1,0.13,0.8,0.25,72.74,27.98,9.37,2
2,0.3,0.96,0.09,84.89,74.25,17.59,2
3,0.23,1.15,0.3,75.51,38.29,11.53,2
4,0.12,0.9,0.32,70.38,20.1,7.43,2
5,0.33,0.82,0.23,74.56,55.38,21.8,2
6,0.07,0.86,0.12,82.23,30.96,4.68,2
7,0.23,1.02,0.3,73.3,37.57,12.99,2
8,0.36,0.82,0.24,73.55,56.02,23.66,2
9,0.16,0.9,0.23,75.38,34.99,10.35,2
10,0.31,0.84,0.2,76.46,56.98,20.32,2
11,0.47,0.88,0.18,78.4,69.03,28.18,2
12,0.17,0.92,0.25,74.83,34.51,10.56,2
13,0.15,0.91,0.3,71.86,26.57,9.3,2
14,0.25,0.77,0.27,71.05,43.26,17.91,2
15,0.15,0.98,0.23,77.04,33.23,8.58,2
16,0.27,0.91,0.15,80.7,61.5,16.79,2
17,0.27,0.9,0.22,76.32,50.53,16.47,2
18,0.09,0.91,0.11,83.12,40.6,5.91,2
19,0.23,0.73,0.06,85.08,75.07,17.88,2
20,0.05,0.7,-0.46,123.54,174.19,3.86,5
21,0.22,0.8,-0.78,134.43,164.36,15.35,5
22,0.22,0.81,0.17,78.06,51.84,15.07,4
23,0.2,0.86,0.34,68.2,29.6,12.8,4
24,0.23,0.91,0.29,72.45,38.09,13.92,4
25,0.22,0.91,0.32,70.53,34.33,13.57,4
26,0.14,0.95,0.19,78.87,36.87,8.39,4
27,0.18,0.95,-0.21,102.48,139.57,10.68,4
28,0.22,0.84,-0.18,102.02,129.4,14.53,4
29,0.22,0.89,0.29,72.02,37.12,13.8,4
30,0.11,0.69,0.59,49.56,10.57,9.04,4
32,0.2,-0.05,0.97,-2.77,11.4,103.5,3
33,0.12,0.15,0.99,8.51,6.74,38.29,3
34,0.09,0.13,0.98,7.29,5.48,36.87,3
35,0.16,-0.28,0.95,-16.57,9.39,150.95,0
36,0.21,-0.38,0.95,-21.48,12.48,150.64,0
37,0.18,-0.42,0.93,-24.41,10.94,156.93,0
38,0.14,-0.41,0.91,-24.37,8.75,161.24,0
39,0.09,-0.43,0.93,-24.81,5.28,168.69,0
40,0.17,-0.41,0.93,-23.6,10.47,157.07,0
41,0.14,-0.42,0.95,-23.88,8.39,161.57,0
42,0.14,-0.38,0.95,-21.88,8.39,159.83,0
43,0.11,-0.38,0.95,-21.88,6.55,164.05,0
44,0.09,-0.39,0.95,-22.45,5.66,166.5,0
45,0.09,-0.38,0.92,-22.14,5.81,165.96,0
46,0.09,-0.39,0.95,-22.45,5.19,167.59,0
47,0.09,-0.38,0.95,-21.88,5.15,167.35,0
48,0.09,-0.38,0.95,-21.64,5.66,165.96,0
49,0.1,-0.38,0.95,-21.48,6.08,164.85,0
50,0.09,-0.38,0.95,-21.48,5.62,165.96,0
51,0.09,-0.38,0.95,-21.64,5.19,167.09,0
52,0.09,-0.38,0.95,-21.88,5.62,166.24,0
53,0.09,-0.38,0.95,-21.64,5.66,165.96,0
54,0.1,-0.38,0.95,-21.48,6.08,164.85,0
55,0.09,-0.38,0.96,-21.32,5.11,167.09,0
56,0.09,-0.38,0.95,-21.64,5.66,165.96,0
57,0.09,-0.38,0.95,-21.88,5.62,166.24,0
58,0.09,-0.38,0.95,-22.05,5.19,167.35,0
59,0.08,-0.38,0.96,-21.32,4.65,168.23,0
60,0.08,-0.38,0.94,-21.8,4.76,168.23,0
61,0.09,-0.38,0.95,-21.48,5.62,165.96,0
62,0.09,-0.38,0.95,-21.88,5.15,167.35,0
63,0.09,-0.38,0.94,-22.21,5.71,166.24,0
64,0.09,-0.38,0.95,-21.48,5.62,165.96,0
65,0.09,-0.38,0.95,-21.48,5.15,167.09,0
66,0.09,-0.38,0.95,-21.64,5.66,165.96,0
67,0.08,-0.38,0.95,-22.05,4.72,168.47,0
68,0.09,-0.38,0.94,-22.21,5.24,167.35,0
69,0.09,-0.38,0.95,-22.05,5.19,167.35,0
70,0.09,-0.37,0.95,-21.23,5.66,165.68,0
71,0.09,-0.38,0.95,-21.48,5.62,165.96,0
72,0.1,-0.38,0.95,-21.64,6.13,164.85,0
73,0.09,-0.38,0.96,-21.32,5.57,165.96,0
74,0.09,-0.38,0.95,-21.48,5.62,165.96,0
75,0.09,-0.38,0.95,-21.88,5.15,167.35,0
76,0.09,-0.38,0.97,-21.16,5.53,165.96,0
77,0.1,-0.37,0.95,-21.07,6.08,164.54,0
78,0.09,-0.38,0.95,-22.05,5.19,167.35,0
79,0.09,-0.34,0.95,-19.83,5.15,165.96,0
80,0.08,-0.35,0.97,-19.95,4.61,167.47,0
81,0.06,-0.35,0.99,-19.51,3.6,169.92,0
82,-0.07,-0.18,1.06,-9.6,-3.79,-158.63,3
83,-0.13,0.65,0.64,45.35,-11.71,-11.58,3
84,0.09,0.86,0.42,63.85,11.51,5.71,3
85,0.2,0.91,0.03,88.04,81.25,12.53,3
86,0.3,0.96,-0.18,100.59,120.53,17.59,3
87,0.21,0.78,-0.41,117.92,153,15.11,3
88,0.27,0.95,-0.16,99.31,120.47,15.57,3
89,0.22,0.92,-0.02,90.97,94.09,13.35,4
90,0.19,0.93,0.02,88.56,82.87,11.4,4
91,0.2,0.94,0.02,88.57,83.42,12.23,4
92,0.21,0.93,0.03,88.07,81.57,12.78,4
93,0.21,0.93,0.04,87.59,79.51,12.78,4
94,0.21,0.94,0.05,86.66,75.47,12.68,4
95,0.21,0.94,0.05,87.14,77.47,12.68,4
96,0.23,0.91,0.11,83.12,64.23,14.04,4
97,0.24,0.91,0.18,78.79,53.43,14.96,4
98,0.24,0.9,0.08,85.03,72.12,15.09,4
99,0.24,0.94,0.09,84.76,70.46,14.48,4
100,0.25,0.92,0.1,83.71,67.89,15.17,4
101,0.25,0.94,0.09,84.29,69.44,14.93,4
102,0.25,0.91,0.06,86.05,75.96,15.42,4
103,0.24,0.97,0.05,86.77,77.28,14.04,4
104,0.23,0.93,0.04,87.59,80.54,14.15,4
105,0.23,0.94,0.06,86.19,75.07,14.04,4
106,0.24,0.93,0.07,85.67,73.81,14.6,4
107,0.23,0.92,0.05,86.61,76.87,14.26,4
108,0.23,0.91,0.06,86.05,74.58,14.04,4
109,0.23,0.92,0.04,87.57,80.22,13.81,4
110,0.23,0.92,0.06,86.12,74.58,13.81,4
111,0.23,0.91,0.06,86.05,74.58,14.04,4
112,0.19,0.88,-0.47,118.18,158.2,12.09,6
113,0.16,0.76,-0.79,136.16,168.25,12.22,6
114,0.15,0.8,-0.27,108.94,151.5,10.55,6
115,0.21,0.84,0.23,74.97,42.95,14.04,1
116,0.22,0.86,0.38,66.43,30.26,14.28,1
117,0.26,0.86,0.39,65.56,33.42,16.7,1
118,0.23,0.88,0.38,66.37,30.62,14.52,1
119,0.23,0.88,0.34,68.73,33.39,14.39,1
