currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity,fallDetected
1,0.26,0.59,0.73,38.96,19.34,23.47,4,FALSE
2,0.25,0.59,0.73,38.59,18.8,23.11,4,FALSE
3,0.26,0.59,0.74,38.66,19.16,23.47,4,FALSE
4,0.27,0.6,0.76,38.44,19.32,23.82,4,FALSE
5,0.26,0.6,0.74,39.03,19.16,23.2,4,FALSE
6,0.26,0.59,0.76,37.71,18.79,23.75,4,FALSE
7,0.26,0.59,0.74,38.66,19.16,23.47,4,FALSE
8,0.25,0.55,0.75,36.49,18.43,24.26,4,FALSE
9,0.29,0.72,0.59,50.81,26.26,21.91,4,FALSE
10,0.3,0.84,0.35,67.19,40.18,19.55,4,FALSE
11,0.24,0.95,0.05,87.16,79.05,14.37,4,FALSE
12,0.23,0.95,-0.09,95.66,112.48,13.48,4,FALSE
13,0.23,0.94,-0.02,91.43,95.71,14.04,4,FALSE
14,0.24,0.94,-0.07,94.29,106.19,14.48,4,FALSE
15,0.23,0.94,-0.06,93.81,104.93,14.04,4,FALSE
16,0.23,0.93,-0.07,94.33,107.24,13.7,4,FALSE
17,0.23,0.93,-0.09,95.28,110.77,13.7,4,FALSE
18,0.23,0.93,-0.09,95.28,110.77,13.7,4,FALSE
19,0.22,0.93,-0.09,95.76,113.2,13.24,4,FALSE
20,0.23,0.94,-0.09,95.71,112.48,13.59,4,FALSE
21,0.22,0.93,-0.09,95.76,113.2,13.24,4,FALSE
22,0.23,0.94,-0.1,96.18,113.43,14.04,4,FALSE
23,0.23,0.94,-0.09,95.24,110.14,14.04,4,FALSE
24,0.23,0.94,0.01,89.52,88.03,13.59,4,FALSE
25,0.25,0.91,0.15,80.7,59.3,15.42,4,FALSE
26,0.24,0.91,0.22,76.43,47.91,14.96,4,FALSE
27,0.39,0.88,0.27,72.65,55.01,24.06,4,FALSE
28,0.44,0.8,0.38,65.01,49.4,28.53,4,FALSE
29,0.46,0.59,0.59,45,37.82,37.82,4,FALSE
30,0.39,0.7,0.6,49.45,33,29.05,4,FALSE
31,0.3,0.73,0.53,53.83,29.2,22.23,4,FALSE
32,0.3,0.55,0.76,35.82,21.9,29.12,4,FALSE
33,0.3,0.59,0.73,39.26,22.23,26.57,4,FALSE
34,0.3,0.59,0.73,39.26,22.23,26.57,4,FALSE
35,0.3,0.57,0.73,38.13,22.23,27.5,4,FALSE
36,0.3,0.58,0.73,38.51,22.23,27.18,4,FALSE
37,0.29,0.59,0.73,38.59,21.49,26.26,4,FALSE
38,0.29,0.58,0.74,37.92,21.28,26.57,4,FALSE
39,0.3,0.58,0.75,37.63,21.6,27.18,4,FALSE
40,0.3,0.58,0.74,37.92,21.8,27.18,4,FALSE
41,0.29,0.58,0.75,37.63,21.08,26.57,4,FALSE
42,0.3,0.58,0.73,38.21,22.01,27.18,4,FALSE
43,0.3,0.59,0.74,38.29,21.8,26.87,4,FALSE
44,0.29,0.63,0.71,41.67,22.13,24.55,4,FALSE
45,0.25,0.56,0.77,36.3,18.08,23.96,4,FALSE
46,0.25,0.59,0.74,38.66,18.62,22.83,4,FALSE
47,0.25,0.59,0.74,38.29,18.62,23.11,4,FALSE
48,0.25,0.59,0.73,38.59,18.8,23.11,4,FALSE
49,0.25,0.6,0.73,39.32,18.8,22.57,4,FALSE
50,0.25,0.61,0.74,39.39,18.62,22.31,4,FALSE
51,0.25,0.6,0.75,38.73,18.43,22.57,4,FALSE
52,0.26,0.6,0.76,38.44,18.79,23.2,4,FALSE
53,0.23,0.78,0.48,58.62,26.19,16.7,4,FALSE
54,0.26,0.83,0.36,66.54,35.66,17.29,4,FALSE
55,0.26,0.86,0.41,64.7,32.4,16.7,4,FALSE
56,0.26,0.85,0.4,64.93,32.91,16.84,4,FALSE
57,0.26,0.84,0.41,64.29,32.4,16.99,4,FALSE
58,0.25,0.85,0.41,64.5,31.61,16.36,4,FALSE
59,0.25,0.86,0.39,65.56,32.62,16.22,4,FALSE
0,0.26,0.86,0.4,65.13,32.91,16.7,4,FALSE
1,0.26,0.86,0.39,65.56,33.42,16.7,4,FALSE
2,0.25,0.85,0.41,64.5,31.61,16.36,4,FALSE
3,0.27,0.85,0.41,64.07,32.68,17.32,4,FALSE
4,0.26,0.85,0.41,64.5,32.4,16.84,4,FALSE
5,0.26,0.84,0.41,63.86,31.91,16.99,4,FALSE
6,0.26,0.85,0.41,64.07,31.91,16.84,4,FALSE
7,0.25,0.85,0.4,64.93,32.11,16.36,4,FALSE
8,0.25,0.85,0.41,64.07,31.12,16.36,4,FALSE
9,0.25,0.84,0.42,63.43,30.65,16.5,4,FALSE
10,0.25,0.85,0.41,64.5,31.61,16.36,4,FALSE
11,0.25,0.84,0.4,64.72,32.11,16.5,4,FALSE
12,0.26,0.85,0.41,64.5,32.4,16.84,4,FALSE
13,0.25,0.86,0.4,65.13,32.11,16.22,4,FALSE
14,0.24,0.86,0.4,65.13,31.29,15.74,4,FALSE
15,0.26,0.84,0.4,64.52,32.91,17.14,4,FALSE
16,0.26,0.87,0.39,65.75,33.42,16.56,4,FALSE
17,0.25,0.85,0.41,64.07,31.12,16.36,4,FALSE
18,0.26,0.85,0.45,62.39,30.07,16.84,4,FALSE
19,0.25,0.85,0.38,65.79,33.15,16.36,4,FALSE
20,0.26,0.82,0.47,60.26,28.81,17.45,4,FALSE
21,0.26,0.69,0.63,47.73,22.42,20.56,4,FALSE
22,0.26,0.63,0.69,42.63,20.56,22.17,4,FALSE
23,0.25,0.54,0.77,35.15,18.08,24.88,4,FALSE
24,0.27,0.58,0.75,37.63,20.03,25.31,4,FALSE
25,0.27,0.58,0.76,37.34,19.32,24.68,4,FALSE
26,0.26,0.58,0.75,37.63,18.97,24.03,4,FALSE
27,0.27,0.58,0.75,37.63,19.5,24.68,4,FALSE
28,0.27,0.59,0.76,37.71,19.32,24.39,4,FALSE
29,0.27,0.59,0.75,38.37,19.5,24.1,4,FALSE
30,0.27,0.59,0.75,38,19.5,24.39,4,FALSE
31,0.27,0.59,0.74,38.29,20.22,25.02,4,FALSE
