currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity
1,0.26,0.53,0.8,33.69,17.93,25.89,4
2,0.26,0.52,0.78,33.82,18.26,26.22,4
3,0.27,0.54,0.78,34.61,18.78,26.23,4
4,0.25,0.54,0.79,34.34,17.58,24.88,4
5,0.27,0.53,0.8,33.43,18.27,26.57,4
6,0.25,0.52,0.8,33.3,17.42,25.53,4
7,0.27,0.7,0.63,47.69,23.37,21.47,4
8,0.25,0.82,0.45,61.08,28.89,16.95,6
9,0.23,0.87,-0.13,98.71,120.38,14.64,6
10,0.21,0.79,-0.58,126.23,159.95,14.97,6
11,0.2,0.76,-0.61,128.8,162.23,14.45,6
12,0.21,0.84,-0.45,118.04,154.65,14.16,6
13,0.24,0.88,0.09,84.39,70.46,15.47,6
14,0.3,0.78,0.44,60.75,34.16,20.81,6
15,0.27,0.78,0.52,56.58,27.26,18.78,1
16,0.27,0.79,0.5,57.64,28.67,19.11,1
17,0.27,0.8,0.49,58.3,29.05,18.94,1
18,0.23,0.86,0.42,63.85,29.05,15.26,1
19,0.16,0.84,0.46,61.35,19.59,11,2
20,0.37,0.91,0.29,72.31,51.79,22.06,2
21,0.34,0.84,0.38,65.84,41.86,21.89,2
22,0.16,0.93,0.36,68.87,23.5,9.54,2
23,0.16,0.85,0.4,64.93,21.41,10.4,2
24,0.38,0.91,0.38,67.1,44.41,22.48,2
25,0.28,0.96,0.45,65.14,32.28,16.31,2
26,0.18,0.82,0.41,63.65,23.86,12.36,2
27,0.37,0.84,0.33,68.57,48.22,23.71,2
28,0.13,0.83,0.3,70.28,24.1,9.11,2
29,0.38,1.06,0.28,75.17,53.7,19.81,2
30,0.41,0.84,0.22,75.47,62.15,26.14,2
31,0.17,0.86,0.39,65.56,23.75,11.31,2
32,0.55,0.85,-0.03,92.1,93.27,32.71,9
33,0.3,0.81,0.34,67.54,41.47,20.07,9
34,0.24,0.8,0.2,76.36,51.12,16.75,9
35,0.44,0.73,0.27,69.92,58.74,31.05,9
36,0.23,0.97,0.39,68.04,30.11,13.16,9
37,0.49,0.88,-0.01,90.51,90.91,29.36,9
38,0.29,0.93,0.45,64.41,32.99,17.27,9
39,0.23,0.88,0.18,78.4,52.52,15,9
40,0.33,0.76,0.19,76.1,60.26,23.41,9
41,0.18,0.97,0.39,68.04,24.7,10.51,9
42,0.47,0.82,-0.16,101.31,109.29,29.74,9
43,0.27,0.86,0.34,68.65,39.14,17.65,9
44,0.39,1.09,0.07,86.32,79.8,19.65,9
45,0.49,0.85,0.05,86.85,84.56,30.03,9
46,0.24,0.92,0.24,75.28,45,14.72,9
47,0.19,0.82,0.19,77.13,45,12.88,9
48,0.47,0.75,0.23,72.65,63.43,32.01,9
49,0.26,1.09,0.4,69.98,32.91,13.26,9
50,0.45,0.79,-0.01,90.57,90.99,29.87,9
51,0.32,0.88,0.37,67.23,41.1,20.11,9
52,0.56,1.13,-0.05,92.37,94.76,26.41,9
53,0.41,0.83,0.23,74.2,60.02,26.13,9
54,0.21,0.74,0.27,70.31,38.45,15.87,9
55,0.46,0.81,0.16,78.58,70.41,29.57,9
56,0.21,1.03,0.34,71.57,31.53,11.56,9
57,0.37,0.79,-0.06,94.53,99.66,24.95,9
58,0.24,1.1,0.41,69.4,30.32,12.4,9
59,0.16,0.92,0.26,74.38,31.22,9.62,9
0,0.36,0.77,0.23,73.67,57.77,24.92,9
1,0.06,0.95,0.38,68.12,9.27,3.75,9
2,0.48,0.82,0.04,87.27,85.31,30.15,9
3,0.15,0.8,0.34,67.34,23.84,10.45,9
4,0.6,1.1,0.09,85.14,81.14,28.64,9
5,0.37,0.81,0.2,76.48,61.99,24.32,9
6,0.21,0.78,0.35,65.77,30.96,15.11,9
7,0.52,0.8,0.06,85.52,83.09,32.91,9
8,0.15,0.99,0.3,73.34,26.57,8.51,9
9,0.53,0.9,0.14,81.1,75.17,30.6,9
10,0.33,0.88,0.05,86.93,81.87,20.56,9
11,0.02,0.89,0.06,85.99,20.56,1.51,9
12,0.22,0.72,-0.42,120.41,152.59,16.93,5
13,0.13,0.65,-0.84,142.46,171.05,11.58,5
14,0.27,0.89,-0.25,105.68,132.44,17.07,5
15,0.27,0.8,0.42,62.1,32.2,18.43,5
16,0.28,0.77,0.52,56.04,28.61,20.17,4
17,0.3,0.63,0.7,42.31,23.12,25.13,4
18,0.28,0.66,0.66,44.66,22.95,23.2,4
19,0.28,0.65,0.69,43.33,22.25,23.45,4
20,0.28,0.66,0.69,43.67,22.25,23.2,4
21,0.28,0.66,0.69,44.01,22.25,22.95,4
22,0.27,0.63,0.72,41.36,20.83,23.37,4
23,0.28,0.79,0.48,58.87,30.55,19.62,6
24,0.25,0.86,-0.13,98.79,117.98,16.22,6
25,0.18,0.73,-0.63,130.4,163.96,13.75,6
26,0.13,0.73,-0.77,136.19,170.16,10.25,6
27,0.2,0.8,-0.48,121.05,158.04,13.64,6
28,0.24,0.79,0.16,78.8,57.17,17.06,6
