currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity
27,0.21,0.77,0.52,56.04,22.25,15.4,4
28,0.21,0.82,0.5,58.64,22.87,14.42,4
29,0.22,0.8,0.51,57.75,23.3,15.21,4
30,0.22,0.81,0.49,58.79,23.96,15.07,4
31,0.2,0.81,0.49,58.79,22.43,14.04,4
32,0.21,0.82,0.48,59.85,23.88,14.42,4
33,0.2,0.84,0.45,61.76,23.32,13.03,4
34,0.21,0.88,0.42,64.26,26.57,13.55,4
35,0.22,0.73,0.52,54.52,22.68,16.59,4
36,0.18,0.78,0.52,56.18,18.95,12.95,4
37,0.07,0.8,0.55,55.54,7.33,5.04,4
38,0.06,0.86,0.43,63.43,8.28,4.16,4
39,-0.41,0.67,0.52,52.5,-38.23,-31.16,3
40,-0.58,0.49,0.63,38.22,-42.77,-49.59,3
41,-0.64,0.4,0.41,43.9,-57.12,-58.12,3
42,-0.81,0.34,0.64,27.67,-51.75,-67.54,3
43,-0.85,0.48,0.3,57.41,-70.31,-60.77,3
44,-0.66,0.38,0.48,38.77,-54.01,-59.74,3
45,-0.8,0.25,0.31,38.66,-68.78,-72.74,3
46,-0.91,0.4,0.08,78.91,-85.07,-66.27,3
47,-0.97,0.55,0.12,77.91,-83.1,-60.55,3
48,-0.75,0.42,0.05,83.66,-86.42,-60.64,3
49,-0.85,0.39,0.2,63.43,-77.08,-65.36,3
50,-0.84,0.41,0.18,66.14,-77.87,-64.08,0
51,-0.85,0.41,0.16,68.96,-79.6,-64.5,0
52,-0.84,0.41,0.17,67.07,-78.38,-64.08,0
53,-0.83,0.4,0.16,67.62,-78.79,-64.31,0
54,-0.84,0.41,0.16,68.01,-78.9,-64.08,0
55,-0.82,0.41,0.17,67.07,-78.17,-63.65,0
56,-0.83,0.4,0.16,68.59,-79.32,-64.31,0
57,-0.83,0.4,0.17,66.67,-78.27,-64.31,0
58,-0.84,0.41,0.16,68.01,-78.9,-64.08,0
59,-0.82,0.39,0.16,67.22,-78.69,-64.54,0
0,-0.84,0.4,0.18,65.73,-77.87,-64.52,0
1,-0.84,0.41,0.19,65.22,-77.36,-64.08,0
2,-0.83,0.41,0.19,65.22,-77.24,-63.87,0
3,-0.8,0.38,0.2,62.49,-76.36,-65.01,0
4,-0.83,0.42,0.17,67.83,-78.27,-63,0
5,-0.82,0.36,0.3,50.44,-70.1,-66.34,3
6,-0.65,0.18,0.66,15.31,-44.66,-74.51,3
7,-0.33,0.59,0.69,40.82,-25.51,-28.93,3
8,0.01,0.77,0.48,57.68,0.92,0.58,3
9,0.2,0.89,0.49,61.07,21.64,12.37,3
10,0.33,0.79,0.48,58.46,34.11,22.58,3
11,0.41,0.81,0.38,64.77,46.7,26.57,4
12,0.38,0.86,0.07,85.32,79.59,24.01,4
13,0.3,0.84,0.48,60.31,31.92,19.55,4
14,0.2,0.8,0.52,56.7,21.21,14.3,4
15,0.2,0.78,0.53,55.78,20.92,14.57,4
16,0.22,0.8,0.55,55.16,21.52,15.35,4
17,0.23,0.8,0.53,56.57,23.1,15.72,4
18,0.23,0.78,0.52,56.18,23.4,16.17,4
19,0.22,0.79,0.54,55.66,22.09,15.49,4
20,0.23,0.76,0.58,52.66,21.4,16.65,4
21,0.22,0.72,0.59,50.81,20.47,16.93,4
22,0.23,0.76,0.6,51.56,20.64,16.65,4
23,0.21,0.69,0.62,48.08,18.87,17.06,4
24,0.23,0.73,0.55,52.94,22.91,17.7,4
25,0.23,0.81,0.51,57.99,24.04,15.58,4
26,0.23,0.84,0.42,63.43,28.24,15.03,4
27,0.2,0.87,0.45,62.41,24.15,13.18,4
28,0.23,0.84,0.45,61.76,26.57,15.03,4
29,0.21,0.81,0.4,63.88,27.9,14.55,4
30,0.41,0.76,0.38,63.2,47.25,28.65,3
31,0.64,0.69,0.44,57.53,55.67,42.98,3
32,0.77,0.42,0.41,46.08,62.29,61.39,3
33,0.93,0.42,0.26,58.57,74.5,65.59,3
34,1.05,0.16,-0.1,123.02,95.5,81.57,3
35,1.05,-0.23,-0.2,-130.91,100.98,102.62,3
36,1,-0.28,0.02,-85.24,88.66,105.71,3
37,1.03,-0.32,0.13,-67.48,82.66,107.26,0
38,0.99,-0.3,0.11,-69.78,83.71,106.66,0
39,0.98,-0.3,0.09,-74.25,85.01,107.2,0
40,0.98,-0.28,0.09,-73.01,85.01,105.95,0
41,0.99,-0.29,0.09,-72.03,84.6,106.24,0
42,0.98,-0.29,0.08,-74.88,85.46,106.36,0
43,0.98,-0.28,0.08,-74.48,85.46,105.95,0
44,1,-0.27,0.1,-69.62,84.2,105.29,0
45,1.01,-0.28,0.09,-71.57,84.69,105.59,0
46,1.01,-0.23,0.07,-73.3,86.01,103.09,0
47,0.99,0.06,0.19,18.43,79.3,86.4,3
48,0.81,0.46,0.03,86.12,87.8,60.43,3
49,0.3,0.84,0.43,62.8,34.64,19.55,3
50,0.09,0.85,0.39,65.36,12.41,5.76,4
51,0.07,0.88,0.42,64.26,9.46,4.59,4
52,0.15,0.84,0.49,59.51,16.78,10.07,4
53,0.14,0.82,0.52,57.85,15.26,9.73,4
54,0.16,0.88,0.42,64.46,21.25,10.53,4
55,0.16,0.85,0.45,62.39,20.22,10.91,4
56,0.16,0.85,0.43,63.23,20.9,10.91,4
57,0.16,0.88,0.44,63.43,19.65,10.12,4
58,0.23,0.84,0.47,60.95,25.8,15.03,4
59,0.19,0.84,0.46,61.13,22.14,12.64,4
0,0.18,0.84,0.45,61.76,21.63,12.02,4
1,0.15,0.86,0.45,62.2,18.14,9.8,4
2,-0.01,0.88,0.52,59.34,-0.86,-0.51,4
3,0.08,0.84,0.48,60.31,9.31,5.34,4
4,0.06,0.87,0.46,62.01,7.72,4.12,4
5,-0.1,0.87,0.24,74.4,-22.75,-6.68,3
6,-0.19,0.76,0.41,61.35,-24.36,-13.9,3
7,-0.45,0.54,0.81,33.56,-29.15,-40.05,3
8,0.05,0.22,0.84,14.53,3.18,12.09,3
9,0.18,-0.26,0.91,-15.88,11.21,145.12,3
10,0.08,-0.37,0.91,-21.89,4.89,167.99,3
11,-0.02,-0.48,0.88,-28.57,-1.02,-178.12,3
12,-0.01,-0.49,0.88,-29.14,-0.51,-179.09,0
13,-0.01,-0.53,0.88,-31.26,-0.51,-179.16,0
14,-0.01,-0.5,0.88,-29.53,-0.51,-179.1,0
15,0,-0.49,0.88,-29.36,0,180,0
16,0,-0.5,0.89,-29.31,0,180,0
17,0,-0.5,0.89,-29.31,0,180,0
18,-0.01,-0.5,0.88,-29.74,-0.51,-179.1,0
19,0,-0.5,0.88,-29.53,0,180,0
20,-0.01,-0.5,0.9,-29.1,-0.5,-179.1,0
21,0,-0.5,0.89,-29.31,0,180,0
22,0,-0.5,0.89,-29.31,0,180,0
23,0,-0.5,0.88,-29.53,0,180,0
24,-0.01,-0.49,0.89,-28.93,-0.5,-179.09,0
25,0,-0.49,0.89,-28.93,0,180,0
26,0,-0.49,0.88,-29.14,0,180,0
27,0.01,-0.5,0.88,-29.74,0.51,179.1,0
28,-0.01,-0.5,0.89,-29.31,-0.5,-179.1,0
29,0,-0.5,0.88,-29.53,0,180,0
30,0,-0.5,0.88,-29.53,0,180,0
31,-0.01,-0.5,0.88,-29.74,-0.51,-179.1,0
32,0.02,-0.49,0.89,-28.93,1.01,178.18,0
