currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity
1,0.23,0.84,0.41,63.65,29.51,15.66,4
2,0.23,0.82,0.47,60.26,25.8,15.44,4
3,0.25,0.8,0.48,58.95,27.3,17.26,4
4,0.26,0.8,0.48,58.95,28.02,17.76,4
5,0.25,0.8,0.48,58.71,27.3,17.42,4
6,0.24,0.8,0.48,59.36,26.94,16.75,4
7,0.23,0.8,0.48,58.95,25.82,16.24,4
8,0.24,0.81,0.48,59.2,26.57,16.6,4
9,0.24,0.8,0.49,58.55,26.2,16.75,4
10,0.23,0.82,0.48,59.85,26.19,15.95,4
11,0.24,0.81,0.47,60.02,27.32,16.6,4
12,0.23,0.8,0.46,59.95,26.18,15.87,4
13,0.21,0.88,0.13,81.94,59.35,13.44,6
14,0.3,1.14,-0.31,105.32,136.47,14.59,6
15,0.22,0.75,0.2,74.85,47.12,16.26,6
16,0.29,0.61,0.59,45.74,25.96,25.38,6
17,0.17,0.69,0.62,48.08,15.56,14.04,1
18,0.25,0.7,0.65,47.32,21.08,19.57,1
19,0.27,0.72,0.62,49.35,23.29,20.28,1
20,0.23,0.71,0.63,48.68,19.93,17.68,1
21,0.24,0.69,0.65,46.67,20.48,19.41,1
22,0.23,0.7,0.62,48.72,20.79,18.43,1
23,0.26,0.72,0.64,48.29,21.92,19.73,1
24,0.22,0.73,0.6,50.68,19.98,16.59,1
25,0.14,0.73,0.59,51.41,13.5,10.84,1
26,0.16,0.74,0.59,51.71,14.93,11.89,1
27,0.31,0.77,0.43,60.7,36.03,22.2,2
28,0.32,0.84,0.48,60.54,33.91,20.79,2
29,0.32,0.84,0.45,61.54,35.26,20.97,2
30,0.1,0.82,0.45,61.08,12.63,7.06,2
31,0.31,0.88,0.46,62.43,34.14,19.49,2
32,0.33,0.74,0.48,57.3,34.55,23.85,2
33,0.33,0.7,0.57,50.95,29.91,25.02,2
34,0.11,0.78,0.5,57.38,12.34,7.97,2
35,0.14,0.8,0.52,57.35,15.26,9.91,2
36,0.24,0.73,0.53,54.12,24.51,18.25,2
37,0.29,0.86,0.66,52.63,23.77,18.59,2
38,0.12,0.77,0.52,55.64,12.62,8.7,2
39,0.14,0.8,0.55,55.16,14.23,10.01,2
40,0.42,0.71,0.55,52.43,37.65,30.69,2
41,0.34,0.75,0.55,53.51,31.79,24.62,2
42,0.14,0.85,0.58,55.83,13.67,9.38,2
43,0.28,0.73,0.62,49.65,24.5,21.16,1
44,0.25,0.72,0.63,48.64,21.56,19.18,1
45,0.27,0.71,0.6,49.76,23.82,20.49,1
46,0.27,0.72,0.62,49.35,23.9,20.83,1
47,0.25,0.7,0.6,49.45,22.57,19.57,1
48,0.24,0.76,0.48,57.84,26.94,17.72,1
49,0.24,0.88,0.23,75,45.94,15.47,5
50,0.24,0.82,0.09,83.48,68.84,16.45,5
51,0.2,0.89,-0.16,99.95,127.57,12.85,5
52,0.22,1.09,-0.33,106.7,146.31,11.31,5
53,0.21,0.77,0.49,57.26,23.2,15.4,5
54,0.21,0.71,0.7,45.64,16.88,16.53,4
55,0.2,0.69,0.65,46.67,17.39,16.46,4
56,0.22,0.69,0.66,45.99,18.23,17.65,4
57,0.2,0.71,0.63,48.33,17.8,15.95,4
58,0.22,0.68,0.66,46.01,18.43,17.84,4
59,0.14,0.7,0.66,46.64,11.96,11.31,4
0,0.2,0.76,0.59,51.92,18.89,15,4
1,0.2,0.7,0.62,48.72,17.56,15.52,4
2,0.22,0.75,0.55,53.51,21.52,16.26,4
3,0.23,0.73,0.61,50.01,21.04,17.88,4
4,0.3,0.76,0.52,55.77,29.93,21.39,4
5,0.3,0.75,0.48,57.57,31.92,21.6,4
6,0.27,0.85,0.39,65.36,34.22,17.32,4
7,0.27,0.86,0.37,66.86,36.67,17.65,4
8,0.32,0.91,0.2,77.84,58.63,19.47,4
9,0.25,0.93,0.16,79.99,56.73,15.05,4
10,0.34,1.05,0.04,87.88,83.37,17.67,4
11,0.25,0.78,0.51,56.98,26.21,17.74,4
12,0.23,0.73,0.61,50.01,20.39,17.32,4
13,0.23,0.73,0.59,51.04,21.54,17.7,4
14,0.24,0.73,0.59,51.41,22.46,18.25,4
15,0.24,0.73,0.59,51.41,22.46,18.25,4
16,0.23,0.74,0.59,51.34,21.54,17.53,4
17,0.25,0.74,0.6,50.97,22.57,18.62,4
18,0.23,0.73,0.59,51.04,21.54,17.7,4
19,0.25,0.73,0.59,51.41,23.11,18.8,4
20,0.23,0.73,0.58,51.79,21.4,17.15,4
21,0.37,0.74,0.58,52.08,32.42,26.32,4
22,0.42,0.73,0.53,53.83,38.45,30.14,4
23,0.45,0.68,0.55,51.18,39.64,33.69,4
24,0.3,0.73,0.63,48.95,25.71,22.75,4
25,0.31,0.73,0.51,55.34,31.61,23.05,4
26,0.23,0.9,0.37,67.77,31.68,14.15,4
27,0.2,0.91,0.13,81.66,55.78,12.16,4
28,0.29,0.98,0.27,74.78,47.42,16.49,4
29,0.27,0.8,0.27,71.23,45,18.77,4
30,0.14,0.85,0.32,69.39,23.7,9.38,4
31,0.16,0.96,0.23,76.73,34.59,9.24,4
32,0.3,0.99,0.16,81.05,62.85,17.07,4
33,0.1,0.9,0.16,80.13,33.02,6.45,4
34,0.22,0.92,0.29,72.59,37.12,13.35,4
35,0.23,0.84,0.38,65.84,31.14,15.16,4
36,0.29,0.91,0.29,72.45,45,17.55,4
37,0.28,0.88,0.4,65.52,35.22,17.82,4
38,0.2,0.84,0.38,65.6,27.95,13.54,4
39,0.22,0.87,0.37,67.05,30.78,14.16,4
40,0.22,0.88,0.35,68.29,31.89,13.92,4
41,0.21,0.88,0.38,66.8,29.36,13.55,4
42,0.23,0.86,0.35,67.75,32.8,14.77,4
43,0.19,0.84,0.45,61.96,22.83,12.64,4
44,0.17,0.8,0.48,59.36,19.83,12.06,4
45,0.18,0.8,0.61,52.86,16.43,12.59,4
46,0.21,0.72,0.65,47.94,18.02,16.36,4
47,0.18,0.49,0.82,30.96,12.36,20.06,3
48,0.2,0.1,0.89,6.51,12.85,63.43,3
49,0.16,-0.05,0.98,-3.18,9.46,108.43,3
50,0.2,-0.27,0.96,-15.88,11.49,144.46,3
51,0.24,-0.35,0.92,-20.87,14.72,145.44,0
52,0.24,-0.27,0.97,-15.33,14.04,137.64,0
53,0.23,-0.28,0.94,-16.7,13.59,141.15,0
54,0.23,-0.27,0.96,-15.45,13.27,139.54,0
55,0.23,-0.25,0.96,-14.58,13.27,137.82,0
56,0.23,-0.26,0.95,-15.14,13.37,138.69,0
57,0.24,-0.24,0.95,-14.37,14.37,135,0
58,0.23,-0.25,0.95,-14.7,13.82,136.85,0
59,0.23,-0.26,0.95,-15.14,13.82,137.73,0
0,0.23,-0.25,0.96,-14.58,13.71,136.85,0
1,0.23,-0.24,0.96,-14.15,13.71,135.94,0
2,0.23,-0.26,0.97,-14.9,13.16,138.69,0
3,0.22,-0.29,0.94,-17.14,13.13,142.88,0
4,0.23,-0.28,0.97,-16.19,13.16,141.15,0
5,0.23,-0.25,0.97,-14.47,13.16,137.82,0
6,0.23,-0.24,0.96,-14.15,13.71,135.94,0
7,0.23,-0.25,0.96,-14.58,13.27,137.82,0
8,0.23,-0.26,0.95,-15.14,13.37,138.69,0
9,0.22,-0.23,0.95,-13.92,13.03,136.97,0
10,0.23,-0.24,0.97,-14.04,13.6,135.94,0
11,0.23,-0.25,0.97,-14.47,13.16,137.82,0
12,0.22,-0.23,0.97,-13.16,12.72,136.01,0
13,0.29,-0.19,0.96,-11.04,16.74,122.97,0
14,0.23,-0.15,0.98,-8.58,13.39,122.35,0
15,0.22,-0.12,1.01,-6.63,12.25,118.18,0
16,0.17,-0.04,1.05,-2.12,9.26,102.8,3
17,0.26,0.15,0.93,9.07,15.5,60.07,3
18,0.25,0.53,0.77,34.48,17.91,25.2,3
19,0.24,0.82,0.38,65.43,32.86,16.45,3
20,0.24,0.96,0.07,85.82,73.81,14.15,3
21,0.27,0.97,0.05,86.77,78.69,15.76,3
22,0.23,0.92,0.17,79.44,52.82,13.81,3
23,0.22,0.93,0.16,80.46,54.46,13.24,4
24,0.24,0.95,0.19,78.78,52.25,14.37,4
25,0.22,0.9,0.19,78.21,49.4,13.68,4
26,0.23,0.93,0.16,79.99,54.09,13.7,4
27,0.22,0.91,0.17,79.35,51.84,13.46,4
28,0.23,0.93,0.17,79.53,52.82,13.7,4
29,0.22,0.92,0.17,79.44,51.84,13.35,4
30,0.22,0.92,0.13,81.8,58.74,13.35,4
31,0.22,0.93,0.13,82.34,60.26,13.24,4
32,0.23,0.93,0.2,78.14,49.24,13.7,4
33,0.22,0.87,0.21,76.33,46.04,14.16,4
34,0.17,0.89,0.22,76.2,38.16,10.92,4
35,0.23,0.91,0.18,78.88,51.58,13.92,4
36,0.21,0.91,0.2,77.94,47.2,12.99,4
37,0.27,0.88,0.24,74.66,47.64,16.75,4
38,0.27,0.88,0.25,74.19,46.74,16.75,4
39,0.23,0.89,0.26,73.86,42.27,14.74,4
40,0.23,0.88,0.27,73.25,41.42,14.87,4
41,0.16,0.87,0.31,70.18,27.7,10.71,4
42,0.05,0.89,0.35,68.46,8.84,3.51,4
43,-0.31,0.85,0.35,67.57,-41.63,-20.15,3
44,-0.52,0.76,0.08,84.11,-81.51,-34.63,3
45,-0.45,0.73,-0.3,112.01,-123.69,-31.23,3
46,-0.3,0.7,-0.54,127.79,-151.16,-23.12,3
47,-0.21,0.74,-0.66,131.48,-162.18,-15.87,3
48,-0.41,0.76,-0.28,110.36,-124.19,-28.65,3
49,-0.8,0.6,-0.31,117.45,-111.41,-52.95,3
50,-0.84,0.43,-0.01,91.04,-90.54,-62.8,3
51,-0.79,0.42,0.07,80.54,-84.91,-61.87,0
52,-0.8,0.42,0.09,78.49,-83.9,-62.33,0
53,-0.81,0.42,0.09,77.47,-83.42,-62.56,0
54,-0.81,0.42,0.08,79.51,-84.51,-62.56,0
55,-0.8,0.42,0.08,79.51,-84.45,-62.33,0
56,-0.8,0.43,0.1,76.7,-82.81,-61.9,0
57,-0.81,0.43,0.09,77.69,-83.42,-62.13,0
58,-0.81,0.43,0.1,76.7,-82.87,-62.13,0
59,-0.8,0.43,0.11,75.72,-82.26,-61.9,0
0,-0.81,0.44,0.1,76.93,-82.87,-61.7,0
1,-0.81,0.42,0.09,77.47,-83.42,-62.56,0
2,-0.81,0.41,0.11,75.2,-82.33,-63,0
3,-0.81,0.42,0.1,76.46,-82.87,-62.56,0
4,-0.81,0.43,0.11,75.72,-82.33,-62.13,0
5,-0.81,0.42,0.11,75.47,-82.33,-62.56,0
6,-0.8,0.42,0.11,75.47,-82.26,-62.33,0
7,-0.81,0.42,0.11,75.47,-82.33,-62.56,0
8,-0.8,0.43,0.1,76.7,-82.81,-61.9,0
9,-0.79,0.44,0.13,73.11,-80.45,-60.99,0
10,-0.75,0.41,0.22,62.15,-73.74,-61.1,0
11,-0.78,0.41,0.26,58.09,-71.74,-62.08,0
12,-0.73,0.36,0.41,40.96,-60.58,-63.92,0
13,-0.63,0.61,0.56,47.29,-48.37,-46.08,0
14,-0.21,0.77,0.62,51.13,-18.87,-15.4,0
15,-0.28,0.31,0.93,18.58,-16.83,-41.99,0
16,0.06,0,1.04,0,3.44,90,0
17,0.39,-0.36,0.95,-20.82,22.45,132.61,0
18,0.2,-0.05,0.94,-3.34,11.77,105.64,0
19,0.05,0.09,1.01,5.31,3.11,30.26,0
20,0.11,0.04,0.98,2.27,6.34,70.35,0
21,0.14,-0.02,1.02,-0.87,7.82,96.34,0
22,0.14,0.03,1.02,1.76,7.88,77.47,0
23,0.13,-0.03,0.99,-1.8,7.18,104.04,0
24,0.13,-0.02,0.98,-1.37,7.29,100.62,0
25,0.13,-0.02,0.99,-0.9,7.18,97.13,0
26,0.13,-0.01,0.99,-0.45,7.62,93.37,0
27,0.13,0.01,0.99,0.45,7.62,86.63,0
28,0.13,0,0.98,0,7.68,90,0
29,0.14,0,0.99,0,8.07,90,0
30,0.13,0,0.99,0,7.62,90,0
31,0.13,-0.06,0.98,-3.66,7.29,116.57,0
32,0.09,-0.05,1.01,-3.11,4.87,122.47,0
33,0.17,0.09,1,4.91,9.75,63.43,0
34,0.3,0.13,0.98,7.29,17.33,67.69,0
35,0.45,0.05,0.91,2.96,26.17,83.99,0
36,0.68,0.27,0.84,18.11,39.11,68.09,0
37,0.74,-0.1,0.68,-8.5,47.52,97.79,0
38,0.91,-0.2,0.43,-25.3,64.82,102.53,0
39,0.95,0.03,0.44,4.09,65.34,88.12,0
40,0.93,-0.03,0.2,-8.75,77.68,91.93,0
