currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity,fallDetected,prev_4,prev_3,prev_2,prev_1
1,0.32,0.59,0.71,39.49,24.25,28.66,4,FALSE,4,4,4,4
2,0.33,0.6,0.71,40.24,24.78,28.61,4,FALSE,4,4,4,4
3,0.33,0.6,0.7,40.55,25.02,28.61,4,FALSE,4,4,4,4
4,0.34,0.61,0.71,40.6,25.8,29.43,4,FALSE,4,4,4,4
5,0.29,0.63,0.72,41.01,21.91,24.82,4,FALSE,4,4,4,4
6,0.27,0.63,0.7,41.95,21.47,23.63,4,FALSE,4,4,4,4
7,0.29,0.63,0.66,43.62,23.52,24.55,4,FALSE,4,4,4,4
8,0.28,0.65,0.69,43.33,22.25,23.45,4,FALSE,4,4,4,4
9,0.28,0.61,0.67,42.21,22.71,24.78,4,FALSE,4,4,4,4
10,0.38,0.72,0.58,51.19,33.51,28.04,4,FALSE,4,4,4,4
11,0.3,0.82,0.32,68.67,42.83,19.9,4,FALSE,4,4,4,4
12,0.22,0.87,-0.3,108.9,143.62,14.16,6,TRUE,4,4,4,4
13,0.21,0.72,-0.75,136.22,164.29,16.36,6,TRUE,4,4,4,6
14,0.16,0.85,-0.74,131.07,168.11,10.4,6,FALSE,4,4,6,6
15,0.16,0.8,-0.3,110.74,151.7,11.52,6,FALSE,4,6,6,6
16,0.27,0.88,0.11,82.94,67.62,16.75,6,TRUE,6,6,6,6
17,0.3,0.81,0.41,63.43,36.16,20.07,6,FALSE,6,6,6,6
18,0.29,0.8,0.45,60.8,32.99,19.94,1,FALSE,6,6,6,6
19,0.29,0.82,0.45,61.5,32.99,19.41,1,FALSE,6,6,6,1
20,0.27,0.81,0.47,60.02,30.26,18.6,1,FALSE,6,6,1,1
21,0.29,0.79,0.45,60.13,32.54,20.12,1,FALSE,6,1,1,1
22,0.24,0.86,0.39,65.56,31.8,15.74,1,FALSE,1,1,1,1
23,0.12,0.9,0.34,69.06,18.82,7.43,1,FALSE,1,1,1,1
24,0.36,0.91,0.23,75.62,56.89,21.46,2,FALSE,1,1,1,1
25,0.33,0.86,0.29,71.41,48.62,20.9,2,FALSE,1,1,1,2
26,0.29,0.91,0.43,64.82,33.93,17.55,2,FALSE,1,1,2,2
27,0.26,0.91,0.2,77.84,52.85,15.88,2,FALSE,1,2,2,2
28,0.28,0.98,0.34,70.75,39.29,15.95,2,FALSE,2,2,2,2
29,0.35,0.83,0.25,73.2,54.58,23,2,FALSE,2,2,2,2
30,0.18,0.87,0.2,76.82,41.5,11.71,2,FALSE,2,2,2,2
31,0.2,0.91,0.27,73.66,37.41,12.63,2,FALSE,2,2,2,2
32,0.38,0.91,0.22,76.54,60.26,22.72,2,FALSE,2,2,2,2
33,0.34,0.97,0.35,70.05,43.7,19.13,2,FALSE,2,2,2,2
34,0.24,0.86,0.31,70.02,37.78,15.74,2,FALSE,2,2,2,2
35,0.32,0.81,0.21,75.45,56.63,21.52,2,FALSE,2,2,2,2
36,0.38,0.83,0.3,70.28,52.21,24.81,2,FALSE,2,2,2,2
37,0.23,0.97,0.3,72.96,37.35,13.16,2,FALSE,2,2,2,2
38,0.31,0.99,0.43,66.58,36.03,17.48,2,FALSE,2,2,2,2
39,0.34,0.8,0.33,67.82,46.33,23.13,2,FALSE,2,2,2,2
40,0.16,0.87,0.21,76.33,36.53,10.21,2,FALSE,2,2,2,2
41,0.2,0.9,0.28,72.62,35.84,12.74,2,FALSE,2,2,2,2
42,0.36,0.89,0.26,73.86,54.34,21.97,2,FALSE,2,2,2,2
43,0.24,0.9,0.26,73.99,43.21,15.09,2,FALSE,2,2,2,2
44,0.2,0.89,0.26,73.86,37.15,12.37,2,FALSE,2,2,2,2
45,0.36,0.88,0.3,71.41,50.44,22.15,2,FALSE,2,2,2,2
46,0.21,0.86,0.26,73.3,39.29,13.79,2,FALSE,2,2,2,2
47,0.2,0.89,0.3,71.11,33.69,12.85,2,FALSE,2,2,2,2
48,0.38,0.83,0.29,70.76,52.94,24.81,2,FALSE,2,2,2,2
49,0.28,0.9,0.35,68.63,38.66,17.38,2,FALSE,2,2,2,2
50,0.2,0.9,0.3,71.27,32.66,12.26,2,FALSE,2,2,2,2
51,0.38,0.84,0.29,71.09,52.37,23.96,2,FALSE,2,2,2,2
52,0.23,0.92,0.27,73.48,39.64,13.81,2,FALSE,2,2,2,2
53,0.16,0.91,0.32,70.53,26,9.78,2,FALSE,2,2,2,2
54,0.31,0.87,0.3,70.64,45.73,19.82,2,FALSE,2,2,2,2
55,0.22,0.91,0.27,73.21,38.66,13.57,2,FALSE,2,2,2,2
56,0.21,0.96,0.26,74.98,39.29,12.38,2,FALSE,2,2,2,2
57,0.49,0.91,0.09,84.58,80.1,28.51,2,FALSE,2,2,2,2
58,0.2,0.93,0.24,75.4,38.88,11.86,2,FALSE,2,2,2,2
59,0.15,0.88,0.36,67.67,22.44,9.63,2,FALSE,2,2,2,2
0,0.38,0.86,0.25,73.78,56.31,23.57,2,FALSE,2,2,2,2
1,0.37,0.93,0.38,67.62,43.81,21.55,2,FALSE,2,2,2,2
2,0.2,0.85,0.32,69.39,31.37,12.92,2,FALSE,2,2,2,2
3,0.36,0.77,0.15,79.03,67.56,25.14,2,FALSE,2,2,2,2
4,0.36,0.95,0.35,69.6,45.63,20.82,2,FALSE,2,2,2,2
5,0.15,0.84,0.35,67.19,22.89,10.07,2,FALSE,2,2,2,2
6,0.35,0.8,0.2,75.7,59.98,23.81,2,FALSE,2,2,2,2
7,0.34,0.95,0.46,64.01,36.71,19.98,2,FALSE,2,2,2,2
8,0.18,0.84,0.34,67.65,27.6,12.13,2,FALSE,2,2,2,2
9,0.38,0.91,0.25,74.7,56.31,22.31,2,FALSE,2,2,2,2
10,0.29,0.95,0.4,67.31,35.96,16.87,2,FALSE,2,2,2,2
11,0.19,0.86,0.37,66.86,27.05,12.31,2,FALSE,2,2,2,2
12,0.38,0.86,0.27,72.82,55.24,24.01,2,FALSE,2,2,2,2
13,0.36,0.97,0.45,65.31,38.9,20.35,2,FALSE,2,2,2,2
14,0.21,0.81,0.39,64.32,28.37,14.55,2,FALSE,2,2,2,2
15,0.38,0.91,0.33,70.1,49.4,22.9,2,FALSE,2,2,2,2
16,0.2,0.88,0.26,73.72,38.23,12.96,2,FALSE,2,2,2,2
17,0.17,0.88,0.36,67.67,25.56,11.11,2,FALSE,2,2,2,2
18,0.34,0.8,0.4,63.66,40.79,23.13,2,FALSE,2,2,2,2
19,0.34,0.81,0.47,60.02,35.63,22.46,2,FALSE,2,2,2,2
20,0.31,0.79,0.47,59.29,33.69,21.61,2,FALSE,2,2,2,2
21,0.33,0.8,0.46,60.2,35.45,22.18,2,FALSE,2,2,2,2
22,0.34,0.8,0.45,61.04,37.03,22.66,2,FALSE,2,2,2,2
23,0.33,0.81,0.45,61.27,36.38,21.99,2,FALSE,2,2,2,2
24,0.33,0.77,0.45,60.07,36.38,22.99,2,FALSE,2,2,2,2
25,0.33,0.87,0.2,76.82,58.24,20.73,5,FALSE,2,2,2,2
26,0.28,0.89,-0.01,90.5,91.59,17.53,5,FALSE,2,2,2,5
27,0.2,0.86,-0.32,110.44,148.63,12.8,5,FALSE,2,2,5,5
28,0.13,0.81,-0.52,122.4,165.56,9.28,5,FALSE,2,5,5,5
29,0.21,0.88,-0.59,124.16,160.44,13.55,5,FALSE,5,5,5,5
30,0.25,0.99,0.12,83.26,64.89,14.14,5,FALSE,5,5,5,5
31,0.25,0.8,0.41,62.54,31.12,17.42,5,TRUE,5,5,5,5
32,0.29,0.75,0.55,53.51,27.53,21.08,5,FALSE,5,5,5,5
33,0.27,0.63,0.71,41.32,21.04,23.63,5,FALSE,5,5,5,5
34,0.29,0.66,0.7,43.34,22.57,23.77,4,FALSE,5,5,5,5
35,0.3,0.65,0.68,43.65,23.59,24.6,4,FALSE,5,5,5,4
36,0.29,0.66,0.67,44.66,23.28,23.52,4,FALSE,5,5,4,4
37,0.29,0.67,0.66,45.67,23.77,23.28,4,FALSE,5,4,4,4
38,0.28,0.66,0.65,45.34,23.45,23.2,4,FALSE,4,4,4,4
39,0.3,0.67,0.65,46.02,24.6,23.84,4,FALSE,4,4,4,4
40,0.28,0.66,0.66,45,22.95,22.95,4,FALSE,4,4,4,4
41,0.29,0.66,0.65,45.68,24.03,23.52,4,FALSE,4,4,4,4
42,0.29,0.68,0.64,46.69,24.29,23.04,4,FALSE,4,4,4,4
43,0.3,0.67,0.66,45.67,24.34,23.84,4,FALSE,4,4,4,4
44,0.29,0.66,0.65,45.68,24.03,23.52,4,FALSE,4,4,4,4
45,0.3,0.66,0.66,45,24.09,24.09,4,FALSE,4,4,4,4
46,0.3,0.67,0.66,45.67,24.34,23.84,4,FALSE,4,4,4,4
47,0.3,0.65,0.67,43.98,23.84,24.6,4,FALSE,4,4,4,4
48,0.27,0.83,0.37,66.09,35.88,17.78,6,FALSE,4,4,4,4
49,0.24,0.9,-0.05,93.48,102.72,15.09,6,FALSE,4,4,4,6
50,0.16,0.84,-0.52,122.05,162.6,11.1,6,TRUE,4,4,6,6
51,0.22,0.86,-0.7,128.98,162.54,14.28,6,FALSE,4,6,6,6
52,0.17,0.83,-0.52,122.3,161.82,11.73,6,FALSE,6,6,6,6
53,0.21,0.8,-0.02,91.11,94.24,14.69,6,FALSE,6,6,6,6
54,0.29,0.84,0.34,68.11,40.71,19.08,6,TRUE,6,6,6,6
55,0.28,0.81,0.47,60.02,30.96,19.09,1,FALSE,6,6,6,6
56,0.27,0.84,0.41,63.65,33.44,18.11,1,FALSE,6,6,6,1
57,0.33,0.84,0.41,64.29,38.93,21.25,1,FALSE,6,6,1,1
58,0.42,0.81,0.35,66.6,50.19,27.44,2,FALSE,6,1,1,1
59,0.27,0.86,0.31,70.02,40.36,17.18,2,FALSE,1,1,1,2
0,0.16,0.91,0.31,70.97,27.7,10.26,2,FALSE,1,1,2,2
1,0.23,0.91,0.35,68.8,32.8,14.04,2,FALSE,1,2,2,2
2,0.38,0.83,0.27,72.22,55.24,24.81,2,FALSE,2,2,2,2
3,0.41,0.89,0.24,74.79,59.2,24.52,2,FALSE,2,2,2,2
4,0.14,0.9,0.25,74.45,29.36,8.9,2,FALSE,2,2,2,2
5,0.41,1.01,0.15,81.62,70.28,22.34,2,FALSE,2,2,2,2
6,0.4,0.88,0.18,78.4,65.73,24.48,2,FALSE,2,2,2,2
7,0.23,0.92,0.23,76.19,45,13.81,2,FALSE,2,2,2,2
8,0.31,0.97,0.26,75.1,50.48,17.88,2,FALSE,2,2,2,2
9,0.41,0.84,0.11,82.55,75.2,26.35,2,FALSE,2,2,2,2
10,0.17,0.91,0.15,80.7,49.18,10.74,2,FALSE,2,2,2,2
11,0.23,0.92,0.17,79.44,53.75,14.26,2,FALSE,2,2,2,2
12,0.41,0.85,0.11,82.68,74.93,25.5,2,FALSE,2,2,2,2
13,0.19,0.9,0.18,78.69,46.22,11.79,2,FALSE,2,2,2,2
14,0.22,0.9,0.2,77.26,47.12,13.68,2,FALSE,2,2,2,2
15,0.41,0.87,0.09,83.83,77.01,25.1,2,FALSE,2,2,2,2
16,0.16,0.87,0.13,81.8,52.7,10.71,2,FALSE,2,2,2,2
17,0.19,0.89,0.23,75.26,38.66,11.89,2,FALSE,2,2,2,2
18,0.41,0.91,0.07,85.56,80.36,24.56,2,FALSE,2,2,2,2
19,0.13,0.9,0.15,80.62,41.82,8.41,2,FALSE,2,2,2,2
20,0.09,0.9,0.29,72.16,17.97,5.96,2,FALSE,2,2,2,2
21,0.42,0.86,0.11,82.75,75.47,26.15,2,FALSE,2,2,2,2
22,0.16,0.9,0.27,73.53,30.47,9.87,2,FALSE,2,2,2,2
23,0.43,0.88,0.16,79.38,69.1,26.15,2,FALSE,2,2,2,2
24,0.13,0.98,0.13,82.71,45,7.29,2,FALSE,2,2,2,2
